event_id,as_of,strategy,plan_selection_policy,selected_plan_source,selection_reason,selection_profit_floor_dollars,selection_candidate_forecast_net_pnl_dollars,selection_candidate_profit_slack_dollars,selection_candidate_hard_passed,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,liquidity_shape_fraction,forecast_profit_floor_dollars,forecast_profit_floor_slack_dollars,forecast_alpha_floor_dollars,forecast_alpha_floor_slack_dollars,factor_stress_fraction,alpha_confidence,mean_capacity_slack_fraction,solver,risk_aversion,liquidity_forecast_quantile,forecast_rmse_bps,selected_inventory_risk_weight,forecast_expected_net_pnl_dollars,gross_holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,parent_gross_dollars,net_pnl_bps,within_event_max_drawdown_dollars,within_event_max_drawdown_bps,terminal_completion_error_shares,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares_audit
event_30,2028-06-13 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.1946128063205492,3.032956672666405e-08,954207.6533323155,10797637.921589307,282453.9155167713,49966.81027224379,10465217.195800291,487200000.00000006,214.80330861659053,73916.23709309305,1.5171641439469015,8.754432201385498e-08,0.09581841670065981,0.08478407685962487,0.0,0.17575757575757575,1.1192490376465083,47.491039245092246,5.0,1.0,1.0,1.0,4.673429084074962,7.523340173065662e-08,1.009802441639877e-05,6.367918103933334e-08
event_30,2028-06-13 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.1946128063205492,3.032956672666405e-08,887345.4837526266,9807976.453296278,261504.82943691706,49542.28588102432,9496929.337978337,487200000.00000006,194.92876309479342,45932.05316685871,0.942776132324686,8.425558917224407e-09,0.08865518972721789,0.08012393545151458,0.0,0.6363636363636362,1.672409204492742,41.18093716735464,7.0,1.0,1.0,1.0,2.9469723086561594,0.00018199787882622331,9.993145381180522e-07,2.3283064365386963e-09
event_31,2028-06-30 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.5644268110322717,3.874894289221057e-08,172149.889877026,6234102.766300409,273303.1160253478,49429.01355905004,5911370.636716011,487200000.00000006,121.33355165673257,1431353.1563937303,29.3791698767186,7.152266334742308e-08,0.10249465392666887,0.08497560763746421,2920.7227863264125,0.6363636363636362,1.4288642809515064,44.191745938102095,6.0,1.0,1.0,7.0,4.34019374399598,0.015233096593874507,1.7995433247432717e-05,5.494803190231323e-08
event_31,2028-06-30 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.5644268110322717,3.874894289221057e-08,140183.95515399167,6065701.045604927,263033.4421592598,49137.019156758455,5753530.58428891,487200000.00000006,118.0938133064226,1138414.0799022825,23.366463052181494,7.610651664435863e-09,0.10062953453509263,0.0852286584177882,713.7435324379039,0.8060606060606059,1.9289359718838357,39.14153637827586,7.0,1.0,1.0,7.0,2.64751937880277,0.00023194786626845598,1.3373398405505828e-06,1.7462298274040222e-09
event_32,2028-07-19 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.566766551359115,4.126535726659911e-08,1360885.092678189,5250466.986163613,362438.0852443205,49714.87315214371,4838314.02776715,487200000.00000006,99.30858020868531,1162681.5757315902,23.864564362306854,1.151493052020669e-07,0.14659249600222568,0.10872551005306413,38140.42104980729,-0.006060606060606061,0.9610201293215216,50.323955664024126,4.0,1.0,1.0,1.0,4.0735420699142635,0.02265050372807309,1.6902640748494185e-05,8.102506399154663e-08
event_32,2028-07-19 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.566766551359115,4.126535726659911e-08,1270273.9716136283,4718220.730290297,341164.5702523005,49261.59463891038,4327794.565399086,487200000.00000006,88.82993771344593,1298894.3476896689,26.66039301497678,6.999471224844456e-09,0.13650126186406963,0.10336917715019893,29111.806724752067,0.5393939393939393,1.402957779632641,44.338344149742824,6.0,1.0,1.0,1.0,2.4298050675370764,0.00016523132217116654,9.189101473000415e-07,1.5133991837501526e-09
event_33,2028-08-07 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,7.86402516616052,3.700100847289193e-08,-1568932.7956962136,-823365.825140004,266729.5359854504,47714.71135594696,-1137810.0724814013,487200000.00000006,-23.354065527122355,4002769.443471945,82.15865031756866,4.243338480591774e-08,0.10350545885306855,0.09060051365340795,5080.107211608003,0.9878787878787878,2.3882052997120256,37.19399343007972,8.0,1.0,1.0,9.0,11.368572904133519,0.009303149054176174,1.2781558723130528e-05,3.5157427191734314e-08
event_33,2028-08-07 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,7.86402516616052,3.700100847289193e-08,-1499197.4476580755,-1228765.7925084704,253954.05457444885,47361.32185131971,-1530081.1689342386,487200000.00000006,-31.40560691572739,4012889.8425346906,82.36637607829825,1.3184035196900368e-08,0.09969465948347297,0.08620177546003026,0.0,0.9999999999999999,3.13656083199138,32.95450508691626,9.0,1.0,1.0,10.0,8.008697866561844,0.0007383363554254174,4.837754574135474e-06,5.238689482212067e-09
event_34,2028-08-24 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.565040386713114,9.120811753644233e-08,-76834.02928424152,3192939.8722884823,286273.0723478999,48968.03825780997,2857698.7616827725,487200000.00000006,58.655557505804026,1196897.0397685184,24.566852211997503,3.031163942068815e-08,0.1209731858891803,0.09426395677860484,20804.46412558439,0.6242424242424242,1.7487918159693125,42.788181959383124,6.0,1.0,1.0,8.0,5.22398611641198,0.0065084483358077705,1.0381173159559614e-05,2.60770320892334e-08
event_34,2028-08-24 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,3.565040386713114,9.120811753644233e-08,-96984.52751421864,3086949.6203864603,272262.71561790537,48564.552363851784,2766122.3524047025,487200000.00000006,56.77591035313428,942696.4816200775,19.34927096921341,3.447348717600107e-08,0.10516013381978317,0.08764683261910829,5364.839694265203,0.7939393939393938,2.3392807419736035,37.7497562459252,6.0,1.0,1.0,9.0,3.3045354037582784,0.0029988545429660007,3.107923918234605e-05,1.1175870895385742e-08
event_35,2028-09-12 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,4.517230256875738,5.697222589464399e-08,378944.0681830837,-3414501.2669082256,258918.1324308149,49430.721706375785,-3722850.121045416,487200000.00000006,-76.41317982441329,4778829.07362384,98.0876246638719,6.132177077233791e-08,0.09501620119443628,0.07926965661572108,0.0,0.709090909090909,1.5812830092934604,43.28673743679452,6.0,1.0,1.0,7.0,5.461364320018975,1.1932570487260818e-09,8.852926956057588e-07,4.9476511776447296e-08
event_35,2028-09-12 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,4.517230256875738,5.697222589464399e-08,331360.6259360144,-2720754.4878908484,245376.03435049168,49007.1838333101,-3015137.7060746513,487200000.00000006,-61.88706293256673,4135643.73361166,84.88595512339202,9.022187441587448e-09,0.08825407236630273,0.07799187399379703,0.0,0.7939393939393938,2.111919230534223,38.29043064377049,6.0,1.0,1.0,8.0,2.7141784117210905,0.0002494858927093446,1.671044101854589e-06,2.3283064365386963e-09
event_36,2028-09-29 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,0.0,,,,,0.0,0.5,0.5333333333333333,OSQP,medium,0.5,2.9227462412788765,2.73624352609327e-08,8103.7038141062,1189005.8802848323,314823.4837356526,49471.012796867486,824711.3837523123,487200000.00000006,16.927573558134487,2098098.9969598674,43.064429330046536,8.007918950170279e-08,0.13536123840549244,0.10475311102080195,31347.68318940526,0.5030303030303029,1.2864314788395057,45.408257793563834,7.0,1.0,1.0,1.0,5.541180962002705,0.0012149589892942458,1.3975563106364018e-06,2.7008354663848877e-08
event_36,2028-09-29 16:00:00,forecast_liquidity,always_candidate,forecast_liquidity,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,,,,,0.5,0.5,0.5214804930855839,OSQP,medium,0.25,2.9227462412788765,2.73624352609327e-08,-25344.338932216357,1285857.7915095529,298178.27641041967,49007.09260513419,938672.422493999,487200000.00000006,19.266675338546776,1632994.3055712658,33.517945516651594,1.0099029168486595e-08,0.11779859001453828,0.10046418055166133,15778.422537011487,0.8060606060606059,1.7732217756444728,40.06170463326719,7.0,1.0,1.0,1.0,2.804026516305876,9.70048422459513e-05,7.036362629364895e-07,3.4924596548080444e-09
