trial,idea,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,scenario_mean_pnl_dollars,scenario_pnl_std_dollars,scenario_p05_pnl_dollars,scenario_median_pnl_dollars,scenario_p95_pnl_dollars,scenario_probability_profitable,scenario_loss_var_95_dollars,scenario_loss_cvar_95_dollars,scenario_loss_cvar_95_mean_dollars,scenario_loss_cvar_95_std_dollars,scenario_loss_cvar_95_worst_dollars,decision
reference_fixed_weight_no_alpha,Use the prior fixed synthetic coefficient without an alpha forecast.,optimal,1033660.064050602,356469.3772673977,48994.05530633821,628196.6314768661,3780098.9833304286,5971900.066968518,8391336.219053572,0.59375,0.406060606060606,1.7311734395163612,43.238226820555795,5.0,2.0,2.0,10.0,5.515438003154006,628196.631476866,4205138.838997778,-6445707.917229487,755165.6258859355,7194956.282303544,0.578,6451718.232652572,8781202.916930666,8504287.696806002,196302.53337047953,8781202.916930666,baseline_only
medium_weight_no_alpha,Ablate expected rebalance alpha at the medium calibrated risk weight.,optimal,1005439.6220099154,293907.3539316875,49005.42205101749,662526.8460272105,3851662.511640684,5675163.970867354,8346251.477481311,0.578125,0.9636363636363635,1.7023336307174344,41.58047291484423,8.0,1.0,1.0,8.0,6.2527659554360895,662526.8460272104,4255580.867361672,-6368219.5545625305,810684.8665635731,7364017.393720988,0.5834,6370010.13414413,8824771.041328978,8531519.498536052,221670.9276202992,8824771.041328978,discard
medium_weight_no_factor,"Ablate country, sector, and industry covariance at the medium risk weight.",optimal,1159077.866895077,311454.57917224825,50083.76021891374,797539.527503915,4448574.6901535755,6345562.137834343,9307517.473146271,0.59765625,-0.13939393939393938,0.7812568068879425,52.76494283885394,5.0,1.0,1.0,1.0,14.30197449632356,797539.5275039148,4941087.9525195835,-7410191.523332315,999022.3565480568,8563051.710608412,0.588,7440712.353344829,10188836.914185459,9869083.273122806,272161.1948353656,10188836.914185459,discard
hybrid_medium_cov1_cvar0.1,Add a scaled downside-CVaR overlay while retaining covariance factor risk.,optimal,1103199.2907484681,305785.7675030592,49705.61851988475,747707.9047255241,3980541.2715728725,5859835.936903434,8770493.020480804,0.59375,-0.04242424242424241,1.0297780109693182,48.68930895696018,5.0,1.0,1.0,1.0,4.1272440792056,747707.9047255239,4446541.4077474745,-6660158.102397878,903596.3574389064,7665068.136096533,0.5874,6661946.335271416,9227233.934048913,8962558.69473068,202780.5880855006,9227233.934048913,keep
hybrid_medium_cov1_cvar0.3,Add a scaled downside-CVaR overlay while retaining covariance factor risk.,optimal,1093088.0990068228,304952.60326582496,49617.0508783893,738518.4448626086,3952953.8335638586,5788979.533132629,8580351.703541346,0.59375,0.2727272727272727,1.106814402117047,47.562694179018266,5.0,1.0,1.0,1.0,6.244906990845133,738518.4448626081,4412592.398561531,-6613254.16221996,881254.0009480678,7590667.754738117,0.5882,6616121.478185495,9155537.093258655,8887515.901873106,202081.2239263595,9155537.093258655,discard
hybrid_medium_cov1_cvar1,Add a scaled downside-CVaR overlay while retaining covariance factor risk.,optimal,1061687.3428117586,311761.9371785006,49395.93262169183,700529.4730115662,3898882.5918420567,5588070.208417638,8100308.44522272,0.58203125,0.6242424242424242,1.2809734974827902,45.50110573729343,6.0,1.0,1.0,1.0,12.929440404877031,700529.4730115661,4340943.042612321,-6558655.305839049,858220.2609769087,7476093.300910207,0.5824,6559983.328131443,9021162.765458522,8731081.31025056,211135.98324767352,9021162.765458522,discard
hybrid_medium_cov1.5_cvar0.3,Add a scaled downside-CVaR overlay while retaining covariance factor risk.,optimal,1075132.9316207794,306593.6561986636,49447.48476201969,719091.7906600961,3889625.983030393,5786805.954414971,8468424.690197915,0.58984375,0.5030303030303029,1.2697877136354359,45.762666610237986,7.0,1.0,1.0,1.0,5.455477799214278,719091.7906600958,4337158.317711595,-6536798.875703034,869810.1123077216,7457277.207319499,0.5874,6555091.393503108,9007946.224587744,8736882.65064141,196438.2776179544,9007946.224587744,discard
hybrid_medium_cov2_cvar0.3,Add a scaled downside-CVaR overlay while retaining covariance factor risk.,optimal,1061691.9018618707,309631.5168291258,49335.96368190873,702724.421350836,3849910.851677431,5770287.5621983465,8399575.76914529,0.59375,0.5636363636363636,1.3875421236450947,44.790135567115584,6.0,1.0,1.0,1.0,5.2255483432452055,702724.4213508358,4289293.886869085,-6522057.572254289,854711.4373467829,7321729.25407883,0.5834,6528046.739772481,8913608.30084728,8639560.02757854,194008.12590935058,8913608.30084728,discard
hybrid_medium_cov1.5_cvar1,Add a scaled downside-CVaR overlay while retaining covariance factor risk.,optimal,1051799.6883827597,314097.88573795505,49311.910141532106,688389.8925032725,3860787.1200073534,5598993.964750992,8083142.625457263,0.578125,0.6969696969696969,1.3639828007924957,44.80646145882462,6.0,1.0,1.0,1.0,11.957791439564815,688389.8925032726,4296168.510504375,-6491911.552490917,844963.2449644061,7419600.622015647,0.5828,6513139.81626753,8935059.118364401,8645042.245039608,204891.366100277,8935059.118364401,discard
medium_event_liquidity,Use a moderate data-driven rise in forecast event liquidity instead of a schedule rule.,optimal,1044205.6393253716,280070.45165041595,49106.41211550066,715028.775559455,3674328.7331382693,5889238.471480756,8256136.055587726,0.59375,0.5878787878787878,1.8067759381306787,39.44273782534431,6.0,1.0,1.0,1.0,2.8521645798852875,715028.7755594546,4104002.00958103,-6143296.360941677,860692.7717913857,7041693.202430569,0.5934,6159109.913427786,8550326.992971266,8307040.324045768,177602.42098248133,8550326.992971266,keep
strong_event_liquidity,Stress-test a strong rise in forecast event liquidity and measure the alpha sacrificed.,optimal,1019124.7073494627,260724.99708175054,48781.17124718887,709618.5390205233,3568419.5305125485,5740539.652786638,8033384.947312162,0.58984375,0.6848484848484848,2.6951338141609944,33.63571072985609,6.0,1.0,1.0,1.0,2.767035246956967,709618.5390205233,3978992.8010723656,-5981470.145871386,836561.7820939128,6867728.0849968605,0.5936,5990747.130466472,8288433.972492969,8053831.23089643,169464.53822972294,8288433.972492969,keep
