date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,event_id,strategy
2027-01-29,-791677.4497919224,35361.289203997745,5641.849269948346,-832680.5882658684,-4941053.682619484,event_02,forecast_error_risk
2027-02-01,-467148.4501733312,31226.096235578807,4765.763955070937,-503140.31036398094,-5444193.992983465,event_02,forecast_error_risk
2027-02-02,966512.2650893832,24885.485068779057,5246.835329730814,936379.9446908734,-4507814.048292592,event_02,forecast_error_risk
2027-02-03,-1404207.3884684078,27286.85480876087,4997.70020069065,-1436491.9434778593,-5944305.991770452,event_02,forecast_error_risk
2027-02-09,-67819.29391135309,17680.890489150024,3458.7379712517777,-88958.92237175489,-88958.92237175489,event_03,static_open_loop
2027-02-10,-5675.018126858504,18002.017822588707,3859.81230953354,-27536.84825898075,-116495.77063073564,event_03,static_open_loop
2027-02-11,554776.4881513355,23341.854088330372,4410.274475148833,527024.3595878562,410528.58895712055,event_03,static_open_loop
2027-02-12,-482945.43147604045,35355.11028525476,5821.129922302669,-524121.6716835979,-113593.08272647735,event_03,static_open_loop
2027-02-15,323606.2399810975,48586.6461058146,5935.086629347765,269084.50724593515,155491.4245194578,event_03,static_open_loop
2027-02-16,283476.5656372703,41839.752651399285,5991.666010415005,235645.14697545598,391136.5714949138,event_03,static_open_loop
2027-02-17,-731485.5052319296,37803.16996164709,5869.25779932272,-775157.9329928994,-384021.36149798566,event_03,static_open_loop
2027-02-18,653316.6205852542,28657.67502703157,5325.479312407837,619333.4662458148,235312.10474782914,event_03,static_open_loop
2027-02-19,-467814.75358624937,25995.594818351743,4235.633153372979,-498045.98155797407,-262733.8768101449,event_03,static_open_loop
2027-02-22,1045614.9257414633,31299.749900120383,5122.023828354902,1009193.152012988,746459.2752028431,event_03,static_open_loop
2027-02-09,-67695.52024589447,17554.051691905464,3445.6938720418393,-88695.26580984177,-88695.26580984177,event_03,forecast_error_risk
2027-02-10,-5437.556671822355,17918.763960833254,3850.2607529479014,-27206.581385603513,-115901.84719544528,event_03,forecast_error_risk
2027-02-11,553572.5160756956,23288.422365504357,4403.999897191488,525880.0938129998,409978.2466175545,event_03,forecast_error_risk
2027-02-12,-486226.06703474885,35352.55343386353,5817.536596396125,-527396.1570650085,-117417.91044745402,event_03,forecast_error_risk
2027-02-15,323264.5598321208,48432.26133844763,5923.729079105133,268908.569414568,151490.658967114,event_03,forecast_error_risk
2027-02-16,280537.1899244709,41696.169730317095,5979.6891575571135,232861.3310365967,384351.9900037107,event_03,forecast_error_risk
2027-02-17,-733955.3300910124,37743.15387289628,5862.494663907461,-777560.9786278161,-393208.98862410535,event_03,forecast_error_risk
2027-02-18,650650.802890806,28616.572422450903,5301.059659023316,616733.1708093318,223524.18218522647,event_03,forecast_error_risk
2027-02-19,-468096.5107519318,26032.006596491177,4272.078643840909,-498400.59599226393,-274876.41380703746,event_03,forecast_error_risk
2027-02-22,1045614.9257414412,31580.56703624766,5155.270798397263,1008879.0879067963,734002.6740997587,event_03,forecast_error_risk
2027-02-26,158918.05101315776,18683.00020261359,3683.4546468885633,136551.5961636556,136551.5961636556,event_04,static_open_loop
2027-03-01,66307.89956168536,19100.91088912098,4098.138150128733,43108.850522435656,179660.44668609125,event_04,static_open_loop
2027-03-02,-428685.88201411016,25954.997851855616,4458.249312136378,-459099.1291781022,-279438.68249201094,event_04,static_open_loop
2027-03-03,-162287.69857322102,32175.08589779344,4902.372968957049,-199365.15743997152,-478803.83993198245,event_04,static_open_loop
2027-03-04,-741259.6036637385,42127.14559114052,5514.510921282974,-788901.2601761619,-1267705.1001081443,event_04,static_open_loop
2027-03-05,58206.17049680009,39516.08486507964,5384.89712939941,13305.188502321042,-1254399.9116058233,event_04,static_open_loop
2027-03-08,105641.15525143463,34397.10610365558,4980.528088979902,66263.52105879915,-1188136.390547024,event_04,static_open_loop
2027-03-09,-218230.26826965463,29398.335812930007,4832.540192990375,-252461.144275575,-1440597.534822599,event_04,static_open_loop
2027-03-10,-1511514.8834379003,29108.371833492296,5371.541878751014,-1545994.7971501437,-2986592.3319727425,event_04,static_open_loop
2027-03-11,-650246.1256064376,34152.60344861367,5227.87235038081,-689626.601405432,-3676218.9333781744,event_04,static_open_loop
2027-02-26,158462.97866656684,18567.021436237672,3667.8115070465597,136228.1457232826,136228.1457232826,event_04,forecast_error_risk
2027-03-01,65083.85719716379,19000.243298188365,4083.847487201161,41999.76641177427,178227.91213505686,event_04,forecast_error_risk
2027-03-02,-433071.56536199903,25849.36164247025,4444.929665956681,-463365.856670426,-285137.9445353691,event_04,forecast_error_risk
2027-03-03,-159615.65119666158,32074.311476766852,4889.079068791329,-196579.04174221976,-481716.9862775889,event_04,forecast_error_risk
2027-03-04,-742486.2727413165,42080.08727057367,5504.452632404442,-790070.8126442946,-1271787.7989218836,event_04,forecast_error_risk
2027-03-05,58634.31335909892,39399.904999482766,5363.501358150114,13870.907001466036,-1257916.8919204175,event_04,forecast_error_risk
2027-03-08,105057.75452485784,34320.96994193564,4968.752414448311,65768.03216847389,-1192148.8597519437,event_04,forecast_error_risk
2027-03-09,-218202.57218628365,29375.586508711276,4824.846361560531,-252403.00505655547,-1444551.864808499,event_04,forecast_error_risk
2027-03-10,-1507892.6959176545,29234.046467040585,5394.889953994395,-1542521.6323386896,-2987073.4971471885,event_04,forecast_error_risk
2027-03-11,-650246.1256064323,34451.69843607181,5298.2636027700055,-689996.0876452742,-3677069.5847924626,event_04,forecast_error_risk
2027-03-17,-3209.6582920023584,23732.628152337893,4237.506289473446,-31179.792733813694,-31179.792733813694,event_05,static_open_loop
2027-03-18,102310.94334885471,26242.171189541994,4582.722941164351,71486.04921814836,40306.25648433466,event_05,static_open_loop
2027-03-19,-52676.920315555115,36225.07928293466,5111.909767421221,-94013.90936591101,-53707.652881576345,event_05,static_open_loop
2027-03-22,-713450.3819092411,42026.8567820101,5933.343656501734,-761410.5823477529,-815118.2352293292,event_05,static_open_loop
2027-03-23,415424.2347223678,46825.683965219905,6126.303966171578,362472.2467909763,-452645.9884383529,event_05,static_open_loop
2027-03-24,698967.8403442008,46060.17523947248,6304.111906049986,646603.5531986783,193957.56476032542,event_05,static_open_loop
2027-03-25,-618814.0709743506,39082.737784461,5744.65099641217,-663641.4597552237,-469683.8949948983,event_05,static_open_loop
2027-03-26,215556.76952944827,25949.897214059132,4145.597307950406,185461.27500743873,-284222.61998745956,event_05,static_open_loop
2027-03-29,-370437.96609045536,26752.235830994454,4281.100704078943,-401471.30262552877,-685693.9226129884,event_05,static_open_loop
2027-03-30,-1464069.1303874084,17227.055331224376,3419.7890983418083,-1484715.9748169745,-2170409.8974299626,event_05,static_open_loop
2027-03-17,-2538.0345766787627,23396.3382120784,4204.265518724702,-30138.638307481866,-30138.638307481866,event_05,forecast_error_risk
2027-03-18,101687.8189727332,25885.785153642446,4549.947130085781,71252.08668900498,41113.448381523114,event_05,forecast_error_risk
2027-03-19,-51738.51731619495,35784.454634233654,5079.876761342643,-92602.84871177125,-51489.400330248136,event_05,forecast_error_risk
2027-03-22,-710983.3007664614,41741.01779130166,5911.125048461783,-758635.443606225,-810124.8439364731,event_05,forecast_error_risk
2027-03-23,419202.94593205914,46732.40202436073,6113.220127820494,366357.3237798779,-443767.5201565952,event_05,forecast_error_risk
2027-03-24,694552.7007084063,45991.354745961224,6292.945700290673,642268.4002621543,198500.88010555907,event_05,forecast_error_risk
2027-03-25,-613907.8938611324,39134.784049195114,5743.9463801562315,-658786.6242904838,-460285.7441849247,event_05,forecast_error_risk
