candidate,fixture,solver,status,inventory_weight,residual_weight,factor_weight,impact_bps,adaptive_caps,objective,max_terminal_residual,max_capacity_violation,max_direction_violation,max_latest_start_floor_violation,early_factor_imbalance_pct,urgent_first_trade_max_day,medium_first_trade_min_day,medium_first_trade_max_day,small_first_trade_min_day,small_completion_day5_pct,urgent_median_execution_day,medium_median_execution_day,small_median_execution_day,urgency_median_gap_days,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,peak_daily_gross_pct,passes_global,passes_balance,passes_urgency,passes_ramp,passes_fixture
inventory_1__factor_0__impact_20,urgency_ramp,CLARABEL,optimal,1.0,0.0,0.0,20.0,False,12.440302311720913,7.105427357601002e-15,0.0,0.0,7.105427357601002e-15,5.5190094762201715e-14,1.0,5.0,5.0,8.0,3.1221103014880365,6.0,8.0,10.0,4.0,0.9999999999999999,4.296913539221205,27.89912695036454,9,17.857152516916535,True,True,True,True,True
inventory_1__factor_0__impact_20,factor_balance,CLARABEL,optimal,1.0,0.0,0.0,20.0,False,6.178156839125627,1.4210854715202004e-14,1.1591847481895456e-09,0.0,2.2970283453105367e-09,44.203649731404326,1.0,5.0,5.0,,,6.0,8.0,,,0.9999999999999999,3.76814597475302,29.8050965838138,9,15.38461538222778,True,False,True,True,False
inventory_1__factor_1__impact_1,urgency_ramp,CLARABEL,optimal,1.0,0.0,1.0,1.0,False,11.48949707182582,1.4210854715202004e-14,0.0,0.0,0.0,3.929985176982585e-15,2.0,6.0,6.0,10.0,0.016180866350407726,6.0,8.0,10.0,4.0,0.9999999999999999,4.664891824374941,25.300874851142687,9,20.829139689745244,True,True,True,True,True
inventory_1__factor_1__impact_1,factor_balance,CLARABEL,optimal,1.0,0.0,1.0,1.0,False,16.288479681457392,7.105427357601002e-15,0.0,0.0,7.105427357601002e-15,1.6129035908054978,2.0,2.0,2.0,,,6.0,4.0,,,0.01818181818181818,1.032251174285325,52.1632692111608,5,14.903696681729583,True,True,True,True,True
inventory_1__factor_1__impact_5,urgency_ramp,CLARABEL,optimal,1.0,0.0,1.0,5.0,False,11.698051296434583,2.1316282072803006e-14,0.0,0.0,2.1316282072803006e-14,6.3775772674111615e-15,1.0,6.0,6.0,9.0,0.14994314583143678,6.0,8.0,10.0,4.0,0.9999999999999999,4.622801590123298,25.96767564566809,9,19.514643773488245,True,True,True,True,True
inventory_1__factor_1__impact_5,factor_balance,CLARABEL,optimal,1.0,0.0,1.0,5.0,False,16.383679339849223,1.4210854715202004e-14,1.4284653460094887e-08,5.867447100700811e-09,3.3857745052046084e-08,1.6129207471880327,1.0,1.0,1.0,,,6.0,4.0,,,0.0303030303030303,1.0320761017675169,52.15909043369847,5,14.899891958109977,True,True,True,True,True
inventory_1__factor_1__impact_20,urgency_ramp,CLARABEL,optimal,1.0,0.0,1.0,20.0,False,12.440302311720922,2.842170943040401e-14,0.0,0.0,7.105427357601002e-15,5.874193254277146e-15,1.0,5.0,5.0,8.0,3.122110301715541,6.0,8.0,10.0,4.0,0.9999999999999999,4.296913539197712,27.89912695038096,9,17.857152516915733,True,True,True,True,True
inventory_1__factor_1__impact_20,factor_balance,CLARABEL,optimal,1.0,0.0,1.0,20.0,False,16.7300924812959,2.984279490192421e-13,2.4791670938384414e-09,1.1270920526386426e-09,6.0994338468844944e-09,1.5954748033967192,1.0,1.0,1.0,,,6.0,4.0,,,0.07878787878787878,1.0242140575103407,52.11374211417916,6,14.841540816946898,True,True,True,True,True
inventory_1__factor_10__impact_1,urgency_ramp,CLARABEL,optimal,1.0,0.0,10.0,1.0,False,11.489497071825825,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,1.1442209196920578e-15,2.0,6.0,6.0,10.0,0.016180877487938138,6.0,8.0,10.0,4.0,0.9999999999999999,4.664891823726364,25.300874851946745,9,20.829139689738966,True,True,True,True,True
inventory_1__factor_10__impact_1,factor_balance,CLARABEL,optimal,1.0,0.0,10.0,1.0,False,97.3353416013022,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.16611283386837367,2.0,2.0,2.0,,,6.0,4.0,,,0.06666666666666665,1.0033221824800953,53.667852390963084,6,15.333671339187337,True,True,True,True,True
