date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,event_id,strategy,selected_plan_source
2028-04-25,-516586.30511022377,39829.23879068317,5119.802268535958,-561535.3461694429,-914792.0981781185,0.0964214228539335,0.09459646096380392,0.0,event_27,forecast_liquidity,forecast_liquidity
2028-04-26,-341458.6487613668,43070.73168647141,5585.445594905694,-390114.8260427439,-1304906.9242208623,0.12401270596338079,0.11453022477539115,16463.853080350134,event_27,forecast_liquidity,forecast_liquidity
2028-04-27,-1263173.4344334197,46431.08400533848,6060.034618759509,-1315664.5530575176,-2620571.4772783797,0.10982081861132784,0.10820641889899237,7979.9098447392025,event_27,forecast_liquidity,forecast_liquidity
2028-04-28,607275.2831907944,34568.95373249706,6040.34436352496,566665.9850947724,-2053905.4921836073,0.09341893258645076,0.09156014355524883,0.0,event_27,forecast_liquidity,forecast_liquidity
2028-05-01,-1524265.505562922,33214.32125132223,4640.709713928245,-1562120.5365281724,-3616026.02871178,0.10080816303614058,0.1004651344565876,777.5739765980397,event_27,forecast_liquidity,forecast_liquidity
2028-05-02,-727078.8334024918,21701.6469596776,3841.9035525902527,-752622.3839147596,-4368648.412626539,0.10204572236787983,0.10087347347574013,2784.470488745108,event_27,forecast_liquidity,forecast_liquidity
2028-05-03,-692538.0362894142,17409.81073585531,5212.407575317274,-715160.2546005867,-5083808.667227126,0.06388884754130453,0.061454190422787734,0.0,event_27,forecast_liquidity,forecast_liquidity
2028-05-09,70517.45799742053,34442.556367713085,4289.229722711176,31785.671906996264,31785.671906996264,0.1046606390525497,0.09855499729827492,2747.1828975043245,event_28,static_open_loop,static_open_loop
2028-05-10,-118556.95960213186,38059.93248875115,4202.547892793286,-160819.43998367628,-129033.76807668002,0.14065355365805954,0.1122472460030453,35413.52808667792,event_28,static_open_loop,static_open_loop
2028-05-11,60395.09746061399,34729.185067518236,5189.191577598953,20476.720815496803,-108557.04726118321,0.11916562173287562,0.09641930692591769,23030.501032284097,event_28,static_open_loop,static_open_loop
2028-05-12,216491.69821241967,39811.46860165621,5687.927196986117,170992.30241377733,62435.25515259412,0.10754335820718294,0.09761183762479868,10521.372495044983,event_28,static_open_loop,static_open_loop
2028-05-15,1269629.0257047934,38889.807417028496,5961.4072735669,1224777.811014198,1287213.066166792,0.12194914678684589,0.11626881238606866,26997.90941314536,event_28,static_open_loop,static_open_loop
2028-05-16,830004.0012438887,36298.041874256385,6052.685992020801,787653.2733776117,2074866.3395444038,0.09842706729331763,0.09417321739114014,0.0,event_28,static_open_loop,static_open_loop
2028-05-17,941058.2214258413,33383.30815846332,5929.852193567789,901745.0610738102,2976611.400618214,0.0969247806945258,0.09424699271268927,0.0,event_28,static_open_loop,static_open_loop
2028-05-18,-113649.64465519768,23190.23765395084,5182.355127438666,-142022.2374365872,2834589.163181627,0.08807228747721413,0.08517547424654301,0.0,event_28,static_open_loop,static_open_loop
2028-05-19,-1844129.4678051895,19675.242150468952,3941.133117621341,-1867745.8430732798,966843.3201083473,0.08219820842055862,0.08186416620862687,0.0,event_28,static_open_loop,static_open_loop
2028-05-22,-3114627.091549968,12807.926815101033,3528.362354990356,-3130963.3807200594,-2164120.060611712,0.06090094306154413,0.05849969537343298,0.0,event_28,static_open_loop,static_open_loop
2028-05-09,57772.352999096,20247.62150782836,3310.657774545088,34214.07371672255,34214.07371672255,0.07478422898147732,0.07444187069365714,0.0,event_28,forecast_liquidity,forecast_liquidity
2028-05-10,-118145.25408759489,25677.247170968883,3488.9233938337734,-147311.42465239755,-113097.350935675,0.11259373342514258,0.08996580310870361,10970.468562691181,event_28,forecast_liquidity,forecast_liquidity
2028-05-11,18119.499708771116,26735.30151546197,4569.729511453683,-13185.531318144538,-126282.88225381954,0.10154401128014805,0.08494159047883727,1855.3717628847517,event_28,forecast_liquidity,forecast_liquidity
2028-05-12,139708.62707590466,33505.37273480706,5263.648182835643,100939.60615826196,-25343.27609555758,0.09655803418938658,0.09043052928211143,0.0,event_28,forecast_liquidity,forecast_liquidity
2028-05-15,1292933.3016485139,35545.11211020238,5731.325978771355,1251656.8635595401,1226313.5874639826,0.11524266521404068,0.10728466115752876,18748.79687397217,event_28,forecast_liquidity,forecast_liquidity
2028-05-16,679252.0123125578,36775.14013549209,6121.096086964129,636355.7760901016,1862669.3635540842,0.09567929934821082,0.09262423081394824,0.0,event_28,forecast_liquidity,forecast_liquidity
2028-05-17,901784.0318247282,37451.089312495176,6264.956659984332,858067.9858522487,2720737.3494063327,0.10053786472597878,0.09775548890578926,665.9160500641592,event_28,forecast_liquidity,forecast_liquidity
2028-05-18,-65776.8962937375,27196.487494811077,5388.053848479057,-98361.43763702764,2622375.911769305,0.09488643772507611,0.09178030070181557,0.0,event_28,forecast_liquidity,forecast_liquidity
2028-05-19,-1570061.2503425248,25490.79924757382,4296.660251387342,-1599848.709841486,1022527.2019278188,0.09530268336825945,0.09492957580275345,0.0,event_28,forecast_liquidity,forecast_liquidity
2028-05-22,-3114627.0915501076,23353.447025548485,5114.393414548897,-3143094.9319902053,-2120567.7300623865,0.07968227377026593,0.0783695394294044,0.0,event_28,forecast_liquidity,forecast_liquidity
2028-05-26,-162287.75566375125,35971.418574747804,4274.318842669496,-202533.49308116853,-202533.49308116853,0.09177338838545371,0.08886549254006362,0.0,event_29,static_open_loop,static_open_loop
2028-05-29,-138583.57767002497,33085.706324577855,4825.03420861047,-176494.3182032133,-379027.81128438184,0.09737085337674974,0.09231604646262123,0.0,event_29,static_open_loop,static_open_loop
2028-05-30,-512385.58346382395,42137.62321966124,5179.076061143854,-559702.2827446291,-938730.094029011,0.10851117149206521,0.09984954685475675,7782.546499746284,event_29,static_open_loop,static_open_loop
2028-05-31,-603895.6794119272,39262.161399599296,5939.79010977576,-649097.6309213022,-1587827.724950313,0.12100573112102789,0.1047636751801262,20421.6435770932,event_29,static_open_loop,static_open_loop
2028-06-01,385786.7466155721,41242.47250268856,5854.528067070909,338689.74604581256,-1249137.9789045006,0.10868341666643337,0.10295299880362503,10821.26310286994,event_29,static_open_loop,static_open_loop
2028-06-02,134106.77762766546,36274.015585592824,6360.3845769777345,91472.37746509489,-1157665.6014394057,0.1040575035051269,0.09621411962298496,4289.218658235361,event_29,static_open_loop,static_open_loop
2028-06-05,2126097.3749531554,31434.70369309843,5992.297581775606,2088670.3736782814,931004.7722388757,0.09307871898213539,0.08797078116087194,0.0,event_29,static_open_loop,static_open_loop
2028-06-06,-503967.1758501014,23568.67611607489,4650.691313438116,-532186.5432796144,398818.2289592613,0.08151820558193426,0.07899807724078825,0.0,event_29,static_open_loop,static_open_loop
2028-06-07,-4047907.0338349068,13571.845614866728,3430.4121082133097,-4064909.2915579868,-3666091.0625987253,0.0599675591970593,0.058983392845977915,0.0,event_29,static_open_loop,static_open_loop
2028-06-08,533426.2003883271,8662.014183753145,2777.9202043644927,521986.26600020943,-3144104.796598516,0.05756838168978941,0.054622478890804585,0.0,event_29,static_open_loop,static_open_loop
2028-05-26,-126859.98592634546,21823.730012674918,3329.860746861279,-152013.57668588168,-152013.57668588168,0.06958508959555419,0.06865086832657837,0.0,event_29,forecast_liquidity,forecast_liquidity
2028-05-29,-124761.4785220703,23304.77642177988,4040.93703300727,-152107.19197685746,-304120.76866273914,0.08407107306012779,0.0771406937964686,0.0,event_29,forecast_liquidity,forecast_liquidity
2028-05-30,-449654.6971888881,33425.8947710553,4591.953589458061,-487672.5455494015,-791793.3142121406,0.09914333456190567,0.09207719082777435,0.0,event_29,forecast_liquidity,forecast_liquidity
2028-05-31,-497550.8319915405,33630.08218192933,5471.99887612132,-536652.9130495912,-1328446.2272617319,0.11066024969346366,0.09530654649557822,10363.829681929157,event_29,forecast_liquidity,forecast_liquidity
2028-06-01,361326.2068317021,37522.00049319716,5584.457263605462,318219.7490748995,-1010226.4781868324,0.09718316383423246,0.09482613024633064,0.0,event_29,forecast_liquidity,forecast_liquidity
