candidate,fixture,date,factor,factor_dollars,normalized_abs_exposure_pct
baseline_physical_residual,urgency_ramp,2026-07-07,industry_banks,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-07,industry_software,0.0,0.0
baseline_physical_residual,urgency_ramp,2026-07-08,country_HK,-1.7763568394002505e-14,3.873888815596836e-15
baseline_physical_residual,urgency_ramp,2026-07-08,country_JP,-1.7763568394002505e-14,3.873888815596836e-15
baseline_physical_residual,urgency_ramp,2026-07-08,sector_financials,-1.7763568394002505e-14,3.873888815596836e-15
baseline_physical_residual,urgency_ramp,2026-07-08,sector_it,-1.7763568394002505e-14,3.873888815596836e-15
baseline_physical_residual,urgency_ramp,2026-07-08,industry_banks,-1.7763568394002505e-14,3.873888815596836e-15
baseline_physical_residual,urgency_ramp,2026-07-08,industry_software,-1.7763568394002505e-14,3.873888815596836e-15
baseline_physical_residual,urgency_ramp,2026-07-09,country_HK,-1.7763568394002505e-14,3.55551668864413e-15
baseline_physical_residual,urgency_ramp,2026-07-09,country_JP,-1.7763568394002505e-14,3.55551668864413e-15
baseline_physical_residual,urgency_ramp,2026-07-09,sector_financials,-1.7763568394002505e-14,3.55551668864413e-15
baseline_physical_residual,urgency_ramp,2026-07-09,sector_it,-1.7763568394002505e-14,3.55551668864413e-15
baseline_physical_residual,urgency_ramp,2026-07-09,industry_banks,-1.7763568394002505e-14,3.55551668864413e-15
baseline_physical_residual,urgency_ramp,2026-07-09,industry_software,-1.7763568394002505e-14,3.55551668864413e-15
baseline_physical_residual,urgency_ramp,2026-07-10,country_HK,-2.4868995751603507e-14,4.606292773036584e-15
baseline_physical_residual,urgency_ramp,2026-07-10,country_JP,-2.4868995751603507e-14,4.606292773036584e-15
baseline_physical_residual,urgency_ramp,2026-07-10,sector_financials,-2.4868995751603507e-14,4.606292773036584e-15
baseline_physical_residual,urgency_ramp,2026-07-10,sector_it,-2.4868995751603507e-14,4.606292773036584e-15
baseline_physical_residual,urgency_ramp,2026-07-10,industry_banks,-2.4868995751603507e-14,4.606292773036584e-15
baseline_physical_residual,urgency_ramp,2026-07-10,industry_software,-2.4868995751603507e-14,4.606292773036584e-15
baseline_physical_residual,urgency_ramp,2026-07-13,country_HK,-1.5987211554602254e-14,2.880726946459808e-15
baseline_physical_residual,urgency_ramp,2026-07-13,country_JP,-1.5987211554602254e-14,2.880726946459808e-15
baseline_physical_residual,urgency_ramp,2026-07-13,sector_financials,-1.5987211554602254e-14,2.880726946459808e-15
