event_id,as_of,strategy,solver,risk_aversion,forecast_rmse_bps,calibrated_persistent_directional_scale,selected_inventory_risk_weight,selected_forecast_path_risk_weight,forecast_market_pnl_vol_dollars,forecast_error_pnl_vol_dollars,forecast_predictive_pnl_vol_dollars,forecast_expected_net_pnl_dollars,gross_holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,parent_gross_dollars,net_pnl_bps,within_event_max_drawdown_dollars,within_event_max_drawdown_bps,terminal_completion_error_shares,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares_audit
event_06,2027-04-02 16:00:00,static_open_loop,OSQP,medium,4.428101439823691,0.5523050586418268,9.120811753644233e-08,0.0,3794739.366338526,524878.5930100229,3830867.3163970974,-571075.1806276027,944761.8702911953,318837.0379921221,48753.62996637357,577171.2023327004,487200000.00000006,11.84669955526889,2582817.3096786537,53.01349157796908,4.871981218457222e-08,0.5878787878787878,1.6580308344927501,42.92083142142555,6.0,1.0,1.0,9.0,5.045404458556774,0.009664636454544961,1.7001025502365446e-05,3.958120942115784e-08
event_06,2027-04-02 16:00:00,forecast_error_risk,OSQP,medium,4.428101439823691,0.5523050586418268,9.120811753644233e-08,9.120811753644233e-08,3795309.327172889,523755.46713648195,3831278.2042395305,-570735.7884341511,970301.9602354385,318381.7342182797,48745.047485921044,603175.1785312376,487200000.00000006,12.38044290909765,2547820.4930169587,52.29516611282755,4.854518920183182e-08,0.5878787878787878,1.6709729078325113,42.82478586276429,6.0,1.0,1.0,9.0,5.120775451965575,0.0102008834364824,1.6710064964977524e-05,4.132743924856186e-08
event_07,2027-04-21 16:00:00,static_open_loop,OSQP,medium,3.6495843768953584,0.5523050586418268,9.120811753644233e-08,0.0,3794647.6973187546,525478.5630580991,3830858.7636455786,-98134.93675523245,636759.560618753,318583.24871337856,48769.67023106417,269406.6416743102,487200000.00000006,5.5296929736106355,1588036.893177725,32.595174326307976,4.422327037900686e-08,0.6484848484848483,1.710207478608732,42.85652483786631,5.0,1.0,1.0,9.0,5.24654901631766,0.008869261393556371,1.5568488085940707e-05,3.64379957318306e-08
event_07,2027-04-21 16:00:00,forecast_error_risk,OSQP,medium,3.6495843768953584,0.5523050586418268,9.120811753644233e-08,9.120811753644233e-08,3795025.5742555163,524957.4706431355,3831161.632617117,-97898.29766738435,640305.2880430274,318502.6662670818,48763.90690727913,273038.71486866625,487200000.00000006,5.6042429160235265,1583664.759837349,32.50543431521652,4.9622030928730965e-08,0.6484848484848483,1.7212375627111702,42.77222586764128,5.0,1.0,1.0,9.0,5.319669709843482,0.010019810302765109,1.7602944275216123e-05,4.0745362639427185e-08
event_08,2027-05-10 16:00:00,static_open_loop,OSQP,medium,3.380527850393963,0.5523050586418268,9.120811753644233e-08,0.0,3799859.282230612,534604.4956073986,3837281.919728831,20382.247884912016,1707918.9044711825,323746.0099337811,48791.31154529656,1335381.582992105,487200000.00000006,27.40930999573286,4099366.2580338144,84.14134355570225,4.6013155952095985e-08,0.6363636363636362,1.6061252572601328,43.459198555882566,6.0,1.0,1.0,8.0,5.09442727814323,0.008769572203163989,1.5316377213929523e-05,3.527384251356125e-08
event_08,2027-05-10 16:00:00,forecast_error_risk,OSQP,medium,3.380527850393963,0.5523050586418268,9.120811753644233e-08,9.120811753644233e-08,3799043.7563907662,534053.7213268109,3836397.6384408693,19783.882759690263,1693869.7527824678,323881.430694493,48786.609253273506,1321201.7128347014,487200000.00000006,27.11826175769091,4113253.7701934576,84.42639101382302,5.1193637773394585e-08,0.6363636363636362,1.6149027570415349,43.38406192142869,6.0,1.0,1.0,8.0,5.162733713373065,0.009693416111986153,1.6930386653450257e-05,3.899913281202316e-08
event_09,2027-05-27 16:00:00,static_open_loop,OSQP,medium,3.1422723689281122,0.5523050586418268,3.22141730598756e-08,0.0,3968841.4138859375,564405.7295978289,4008772.380190597,968618.6756267408,12405360.362762393,316511.1985990531,49041.72080606619,12039807.443357274,487200000.00000006,247.12248446956636,54595.87594673439,1.1206050071168798,1.4924444258213043e-07,0.11515151515151514,0.9898067219353143,49.56343945195264,6.0,1.0,1.0,1.0,3.3430939987197754,0.004288129974156618,2.1316761520787415e-05,4.470348358154297e-08
event_09,2027-05-27 16:00:00,forecast_error_risk,OSQP,medium,3.1422723689281122,0.5523050586418268,3.22141730598756e-08,3.22141730598756e-08,3961501.7474704147,563427.6339773881,4001368.1152751376,966726.855614879,12389180.890557153,316220.99305218953,49027.51877117738,12023932.378733786,487200000.00000006,246.79664159962613,53492.322555347455,1.097954075438166,2.549350028857589e-07,0.11515151515151514,1.0017884605436143,49.3673625756619,6.0,1.0,1.0,1.0,3.32711564795849,0.001945759227965027,3.194948524569201e-05,1.0826624929904938e-07
event_10,2027-06-15 16:00:00,static_open_loop,OSQP,medium,3.0059584645703246,0.5523050586418268,3.252111045372205e-08,0.0,4035487.4218591005,570522.0567783827,4075617.026813688,994520.5766775066,-1415030.4839964276,311103.1968355057,49776.91648724151,-1775910.5973191746,487200000.00000006,-36.451366940048736,3120068.343631101,64.04081165088466,1.7233833204954863e-07,-0.05454545454545454,0.968041923203452,50.294236355305664,4.0,1.0,1.0,1.0,4.913519039426926,0.0030313857714645565,3.642933240608512e-05,4.0046870708465576e-08
event_10,2027-06-15 16:00:00,forecast_error_risk,OSQP,medium,3.0059584645703246,0.5523050586418268,3.252111045372205e-08,3.252111045372205e-08,4025262.8773188563,569181.6864801373,4065305.526494368,991815.4601504819,-1409700.3934218267,310474.96500393597,49757.8976656084,-1769933.2560913712,487200000.00000006,-36.32867931222026,3109591.5622903313,63.82577098297067,1.4828401617705822e-07,-0.05454545454545454,0.9843678141248215,50.0305359437634,4.0,1.0,1.0,1.0,4.870872657537343,0.006482899218099192,4.929789376010626e-05,3.015156835317612e-08
