date,symbol,trade_shares,trade_dollars,abs_pct_adv,cap_shares,cap_pct_adv,days_to_earnings,residual_shares_after,residual_dollars_after,event_id,strategy,policy_id,policy_aggressiveness
2026-01-06,SMALL_BUY,39.99999535518782,2399.9997213112692,0.027496332049098217,290.9478637642484,0.2,0.0,-2.1316282072803006e-14,-1.2789769243681803e-12,event_01,forecast_liquidity,policy_0200,0.2
2026-01-12,URGENT_BUY,7.937752865994523,396.88764329972616,0.009246809347246131,171.68630968602224,0.2,2.0,92.06224713400547,4603.112356700274,event_02,forecast_liquidity,policy_0200,0.2
2026-01-12,HEDGE_SELL,-15.576651435725953,-856.7158289649274,0.01624736571403445,191.74371661088253,0.2,2.0,-64.42334856427405,-3543.2841710350726,event_02,forecast_liquidity,policy_0200,0.2
2026-01-12,SMALL_BUY,3.630117032616822e-08,2.178070219570093e-06,3.428022074131139e-11,211.7907617929739,0.2,2.0,39.999999963698826,2399.9999978219294,event_02,forecast_liquidity,policy_0200,0.2
2026-01-13,URGENT_BUY,18.600700272875063,930.0350136437531,0.018217489466920728,204.20706493779144,0.2,1.0,73.46154686113042,3673.077343056521,event_02,forecast_liquidity,policy_0200,0.2
2026-01-13,HEDGE_SELL,-21.774348187903225,-1197.5891503346775,0.019422968773808832,224.21235848625926,0.2,1.0,-42.64900037637082,-2345.695020700395,event_02,forecast_liquidity,policy_0200,0.2
2026-01-13,SMALL_BUY,4.608511029724379e-06,0.00027651066178346277,3.774114843523617e-09,244.2167883488011,0.2,1.0,39.9999953551878,2399.999721311268,event_02,forecast_liquidity,policy_0200,0.2
2026-01-14,URGENT_BUY,73.46154686113044,3673.0773430565223,0.05860196015958722,250.71361661308597,0.2,0.0,-2.842170943040401e-14,-1.4210854715202004e-12,event_02,forecast_liquidity,policy_0200,0.2
2026-01-14,HEDGE_SELL,-42.64900037637082,-2345.695020700395,0.03149383190500109,270.8403379113632,0.2,0.0,0.0,0.0,event_02,forecast_liquidity,policy_0200,0.2
2026-01-14,SMALL_BUY,39.99999535518782,2399.9997213112692,0.027496332049098217,290.9478637642484,0.2,0.0,-2.1316282072803006e-14,-1.2789769243681803e-12,event_02,forecast_liquidity,policy_0200,0.2
2026-01-02,URGENT_BUY,9.206361070001464,460.3180535000732,0.010259037628024577,179.47806419683033,0.2,2.0,90.79363892999854,4539.681946499927,event_01,forecast_liquidity,policy_0350,0.35
2026-01-02,HEDGE_SELL,-17.310425197699022,-952.0733858734462,0.017350718609177477,199.535541871365,0.2,2.0,-62.68957480230098,-3447.926614126554,event_01,forecast_liquidity,policy_0350,0.35
2026-01-02,SMALL_BUY,3.25448788791429e-07,1.9526927327485738e-05,2.9642469524090237e-10,219.58277701993686,0.2,2.0,39.99999967455121,2399.999980473073,event_01,forecast_liquidity,policy_0350,0.35
2026-01-05,URGENT_BUY,19.288212454410232,964.4106227205116,0.018725660255164128,206.0083563578589,0.2,1.0,71.50542647558831,3575.2713237794155,event_01,forecast_liquidity,policy_0350,0.35
2026-01-05,HEDGE_SELL,-22.11442841862191,-1216.293563024205,0.019569117437937957,226.01354903976863,0.2,1.0,-40.57514638367907,-2231.633051102349,event_01,forecast_liquidity,policy_0350,0.35
2026-01-05,SMALL_BUY,0.821686915210728,49.30121491264368,0.0006679895572981757,246.01789241562807,0.2,1.0,39.178312759340486,2350.698765560429,event_01,forecast_liquidity,policy_0350,0.35
2026-01-06,URGENT_BUY,71.50542647558834,3575.271323779417,0.05892943850900888,242.68151295776184,0.2,0.0,-2.842170943040401e-14,-1.4210854715202004e-12,event_01,forecast_liquidity,policy_0350,0.35
2026-01-06,HEDGE_SELL,-40.57514638367906,-2231.6330511023484,0.03087051342968861,262.8731554860203,0.2,0.0,0.0,0.0,event_01,forecast_liquidity,policy_0350,0.35
2026-01-06,SMALL_BUY,39.1783127593405,2350.69876556043,0.027684314523137982,283.03617723022234,0.19999999999999998,0.0,-1.4210854715202004e-14,-8.526512829121202e-13,event_01,forecast_liquidity,policy_0350,0.35
2026-01-12,URGENT_BUY,9.206361070001464,460.3180535000732,0.010259037628024577,179.47806419683033,0.2,2.0,90.79363892999854,4539.681946499927,event_02,forecast_liquidity,policy_0350,0.35
2026-01-12,HEDGE_SELL,-17.310425197699022,-952.0733858734462,0.017350718609177477,199.535541871365,0.2,2.0,-62.68957480230098,-3447.926614126554,event_02,forecast_liquidity,policy_0350,0.35
2026-01-12,SMALL_BUY,3.25448788791429e-07,1.9526927327485738e-05,2.9642469524090237e-10,219.58277701993686,0.2,2.0,39.99999967455121,2399.999980473073,event_02,forecast_liquidity,policy_0350,0.35
2026-01-13,URGENT_BUY,19.288212454410232,964.4106227205116,0.018725660255164128,206.0083563578589,0.2,1.0,71.50542647558831,3575.2713237794155,event_02,forecast_liquidity,policy_0350,0.35
2026-01-13,HEDGE_SELL,-22.11442841862191,-1216.293563024205,0.019569117437937957,226.01354903976863,0.2,1.0,-40.57514638367907,-2231.633051102349,event_02,forecast_liquidity,policy_0350,0.35
2026-01-13,SMALL_BUY,0.821686915210728,49.30121491264368,0.0006679895572981757,246.01789241562807,0.2,1.0,39.178312759340486,2350.698765560429,event_02,forecast_liquidity,policy_0350,0.35
2026-01-14,URGENT_BUY,71.50542647558834,3575.271323779417,0.05892943850900888,242.68151295776184,0.2,0.0,-2.842170943040401e-14,-1.4210854715202004e-12,event_02,forecast_liquidity,policy_0350,0.35
2026-01-14,HEDGE_SELL,-40.57514638367906,-2231.6330511023484,0.03087051342968861,262.8731554860203,0.2,0.0,0.0,0.0,event_02,forecast_liquidity,policy_0350,0.35
2026-01-14,SMALL_BUY,39.1783127593405,2350.69876556043,0.027684314523137982,283.03617723022234,0.19999999999999998,0.0,-1.4210854715202004e-14,-8.526512829121202e-13,event_02,forecast_liquidity,policy_0350,0.35
2026-01-02,URGENT_BUY,20.351717280575592,1017.5858640287796,0.021948722095552587,185.44785607084987,0.2,2.0,79.6482827194244,3982.4141359712203,event_01,forecast_liquidity,policy_0500,0.5
2026-01-02,HEDGE_SELL,-27.467807126926033,-1510.7293919809317,0.02673241561100088,205.5018710364695,0.2,2.0,-52.53219287307397,-2889.2706080190683,event_01,forecast_liquidity,policy_0500,0.5
2026-01-02,SMALL_BUY,4.582181735710823,274.9309041426494,0.004063185956226841,225.54624794804778,0.2,2.0,35.417818264289174,2125.0690958573505,event_01,forecast_liquidity,policy_0500,0.5
2026-01-05,URGENT_BUY,26.89358037878019,1344.6790189390094,0.02612363674332404,205.89461293633178,0.2,1.0,52.754702340644215,2637.735117032211,event_01,forecast_liquidity,policy_0500,0.5
2026-01-05,HEDGE_SELL,-25.99019273677838,-1429.4606005228109,0.023009961754012136,225.90383256283855,0.2,1.0,-26.542000136295584,-1459.8100074962572,event_01,forecast_liquidity,policy_0500,0.5
2026-01-05,SMALL_BUY,7.625787978244038,457.5472786946423,0.006202057136284357,245.9115680708687,0.2,1.0,27.79203028604514,1667.5218171627084,event_01,forecast_liquidity,policy_0500,0.5
2026-01-06,URGENT_BUY,52.75470234064423,2637.7351170322113,0.045239194752872934,233.22564704710632,0.2,0.0,-1.4210854715202004e-14,-7.105427357601002e-13,event_01,forecast_liquidity,policy_0500,0.5
2026-01-06,HEDGE_SELL,-26.542000136295595,-1459.8100074962576,0.020945029563159027,253.44437978718622,0.2,0.0,1.4210854715202004e-14,7.815970093361102e-13,event_01,forecast_liquidity,policy_0500,0.5
2026-01-06,SMALL_BUY,27.79203028604516,1667.5218171627098,0.020313510073394603,273.630999129446,0.19999999999999998,0.0,-2.1316282072803006e-14,-1.2789769243681803e-12,event_01,forecast_liquidity,policy_0500,0.5
2026-01-12,URGENT_BUY,20.351717280575592,1017.5858640287796,0.021948722095552587,185.44785607084987,0.2,2.0,79.6482827194244,3982.4141359712203,event_02,forecast_liquidity,policy_0500,0.5
2026-01-12,HEDGE_SELL,-27.467807126926033,-1510.7293919809317,0.02673241561100088,205.5018710364695,0.2,2.0,-52.53219287307397,-2889.2706080190683,event_02,forecast_liquidity,policy_0500,0.5
