optimization_seed,model,profile,frontier_runtime_seconds,stress_variance_scale,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,scenario_loss_cvar_95_mean_dollars,scenario_loss_cvar_95_std_dollars,scenario_loss_cvar_95_worst_dollars
20260807,hybrid_96,low,26.06180733407382,,1192671.3516945445,330274.89835960924,50391.231569117765,812005.2217658175,4459953.259062925,7746253.161779533,10689551.706190065,0.5703125,-0.406060606060606,0.5534345545832794,57.66885468139513,4.0,1.0,1.0,1.0,7.615501535068427,9882053.886496445,215735.57772011744,10107657.641316943
20260807,stress_mean,low,0.5733536659972742,0.4955989787319018,1190792.0006633354,330503.1071984101,50374.377897246275,809914.5155676791,4436762.136896218,7676877.5930922665,10641415.60868918,0.5703125,-0.406060606060606,0.5633289412690824,57.52233518619676,4.0,1.0,1.0,1.0,6.941783250654694,9842789.867926005,211009.99765659825,10063295.781869104
20260814,hybrid_96,medium,56.618716416996904,,1071939.4920764249,308669.6592557598,49398.996804460716,713870.8360162043,3870544.6862397054,7145612.461088553,9088218.718727032,0.6484375,0.49090909090909085,1.3299701651687075,45.19035256840071,6.0,1.0,1.0,4.0,3.245206079189104,8625441.752310693,157688.04034771275,8809279.76216019
20260814,stress_mean,medium,0.8092748749768361,0.035686030389286895,1071852.747745654,309010.9405801676,49399.61353392181,713442.1936315647,3869514.289576809,7153979.020080222,9091347.20390823,0.6484375,0.49090909090909085,1.3291526126795132,45.25236034985572,6.0,1.0,1.0,4.0,3.1092338297197717,8623881.035391372,157253.50368406787,8807231.442496896
20260814,hybrid_96,low,56.618716416996904,,1201167.9337335736,333947.4005699704,50468.11750928485,816752.4156543183,4520032.624424726,8042756.791060779,9891270.621005747,0.62890625,-0.4545454545454545,0.5132053340787921,58.688221502166726,4.0,1.0,1.0,1.0,8.442343274526184,10001981.642628599,221690.03605621247,10229408.945135916
20260814,stress_mean,low,0.8092748749768361,0.035686030389286895,1200997.118798837,333919.8489415347,50466.35976015681,816610.9100971455,4518082.5720656365,8044750.746313059,9890526.03107329,0.62890625,-0.4545454545454545,0.5139450399308608,58.66914094946418,4.0,1.0,1.0,1.0,8.393017120747006,9998465.67049777,221391.17626905697,10225653.297269108
20260821,hybrid_96,medium,27.588323667063378,,1069324.640907144,308390.49943922507,49385.031075920764,711549.1103919981,3865527.242561971,7012770.287408148,9640748.269457297,0.59765625,0.49090909090909085,1.3463457172107063,44.966836139862124,6.0,1.0,1.0,5.0,3.2058998073083194,8608040.934345515,158459.65350947648,8793398.076793855
20260821,stress_mean,medium,0.817847124999389,0.11485917494492828,1069796.9192586031,309798.66683137283,49387.67943681822,710610.5729904121,3863163.3750732215,6976597.313321311,9661683.145400107,0.58984375,0.49090909090909085,1.3404416649924016,45.194434090217435,6.0,1.0,1.0,5.0,3.2563678455451712,8609436.798350796,155846.48179852296,8791517.581925329
20260821,hybrid_96,low,27.588323667063378,,1200040.7467472407,333459.5511298505,50457.728248441636,816123.4673689485,4511484.5709582595,7922237.4100318765,10630905.21264301,0.60546875,-0.4545454545454545,0.5190027195497239,58.54175505751018,4.0,1.0,1.0,1.0,8.34279788626625,9985587.985262398,220398.35626431435,10213268.131137641
20260821,stress_mean,low,0.817847124999389,0.11485917494492828,1199268.1976181571,333222.153313398,50450.4766113414,815595.5676934178,4504456.089217475,7905393.009811068,10620716.998440446,0.60546875,-0.4545454545454545,0.5226900855835849,58.458982077827955,4.0,1.0,1.0,1.0,8.225567256034847,9972403.63841699,219395.18462569118,10199525.878754715
