candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,plan_selection_policy,selected_plan_source,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,liquidity_shape_fraction,applied_inventory_risk_weight
variance__multiplier_0.3__variance_7.26059e-09__path_0,variance,0.0,,0.3,7.260591280612746e-09,0.0,optimal,1088262.4151856527,334746.1937988045,50419.76746354636,703096.4539233019,4479064.7783620395,9125593.023319181,10411111.452870296,0.59375,event_27,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.420197093537582e-08
variance__multiplier_1__variance_2.4202e-08__path_0,variance,0.0,,1.0,2.420197093537582e-08,0.0,optimal,1007185.2311554964,310789.7033695977,49693.651983738484,646701.8758021602,3988176.306226773,7837200.106507107,9372932.590947961,0.59375,event_27,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.420197093537582e-08
variance__multiplier_3__variance_7.26059e-08__path_0,variance,0.0,,3.0,7.260591280612746e-08,0.0,optimal,964120.7189939481,319826.85890309094,49215.59349578837,595078.2665950687,3805941.485339922,7433309.243921471,9206710.23236342,0.5625,event_27,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.420197093537582e-08
variance__multiplier_10__variance_2.4202e-07__path_0,variance,0.0,,10.0,2.420197093537582e-07,0.0,optimal,958067.3879211858,330787.9057087526,49106.269362686304,578173.2128497469,3784837.7926725177,7342113.528390592,9179763.63690394,0.578125,event_27,static_open_loop,always_candidate,static_open_loop,baseline_locked,raw,barra,none,flat,0.0,2.420197093537582e-08
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,1074294.8304296555,354322.86178594944,50264.546500357064,669707.422143349,4472505.353484649,9432023.889146943,10644110.566213943,0.59375,event_27,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.420197093537582e-08
variance__multiplier_0.1__variance_2.4202e-09__path_0,variance,0.0,,0.1,2.4201970935375823e-09,0.0,optimal,1069666.7533966396,350458.3169455262,50207.635950136864,669000.8005009765,4407129.8657295825,9255095.282882638,10351468.933359118,0.59375,event_27,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.420197093537582e-08
variance__multiplier_0.3__variance_7.26059e-09__path_0,variance,0.0,,0.3,7.260591280612746e-09,0.0,optimal,1051664.426705867,339388.631875632,50022.92326095328,662252.8715692818,4248475.2298257295,8672840.366635868,9896017.602341276,0.609375,event_27,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.420197093537582e-08
variance__multiplier_1__variance_2.4202e-08__path_0,variance,0.0,,1.0,2.420197093537582e-08,0.0,optimal,975442.1183299778,313530.4100914657,49337.67930858463,612574.0289299275,3812789.9488726165,7346332.017914061,9040984.165443404,0.59375,event_27,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.420197093537582e-08
variance__multiplier_3__variance_7.26059e-08__path_0,variance,0.0,,3.0,7.260591280612746e-08,0.0,optimal,919929.283688035,315815.1720049707,48779.0545491561,555335.0571339082,3606269.605507372,6936433.811098685,8826671.368640881,0.578125,event_27,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.420197093537582e-08
variance__multiplier_10__variance_2.4202e-07__path_0,variance,0.0,,10.0,2.420197093537582e-07,0.0,optimal,910720.2527275828,322260.7239801532,48665.73607876662,539793.792668663,3586927.5296354014,6870123.775120613,8761384.41129483,0.59375,event_27,forecast_liquidity,always_candidate,forecast_liquidity,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,0.5,2.420197093537582e-08
