event_id,date,day_index,strategy,specific_risk_fraction,raw_factor_variance_dollars2,raw_specific_variance_dollars2,priced_specific_variance_dollars2,total_priced_variance_dollars2,raw_specific_variance_share
event_101,2032-01-05,6,static_open_loop,1.0,199441239567.83542,1105254801705.9148,1105254801705.9148,1304696041273.7502,0.8471358590364659
event_101,2032-01-06,7,static_open_loop,1.0,390955358198.8516,1563774867411.116,1563774867411.116,1954730225609.9675,0.7999952356203757
event_101,2032-01-07,8,static_open_loop,1.0,770212200312.3594,2033107206447.4233,2033107206447.4233,2803319406759.7827,0.7252499310442083
event_101,2032-01-08,9,static_open_loop,1.0,1487225080978.8044,2475218663460.263,2475218663460.263,3962443744439.0674,0.6246697298691015
event_101,2032-01-09,10,static_open_loop,1.0,2205519119999.6978,2875439159999.8496,2875439159999.8496,5080958279999.547,0.5659245759443838
event_101,2031-12-29,1,full_specific_control,1.0,231307590.9652463,9996450556.661331,9996450556.661331,10227758147.626577,0.9773843311870918
event_101,2031-12-30,2,full_specific_control,1.0,1209002096.799824,47671715429.0797,47671715429.0797,48880717525.879524,0.9752662776245105
event_101,2031-12-31,3,full_specific_control,1.0,4740377366.039462,132254903040.06104,132254903040.06104,136995280406.1005,0.9653975133158794
event_101,2032-01-01,4,full_specific_control,1.0,15707185842.719147,292976207845.59033,292976207845.59033,308683393688.30945,0.949115546336842
event_101,2032-01-02,5,full_specific_control,1.0,37997065135.6896,552711096897.7305,552711096897.7305,590708162033.42,0.9356754018686814
event_101,2032-01-05,6,full_specific_control,1.0,91133774945.1084,921001661691.9066,921001661691.9066,1012135436637.015,0.9099589129613768
event_101,2032-01-06,7,full_specific_control,1.0,193124931449.39676,1363816394922.8848,1363816394922.8848,1556941326372.2815,0.8759587608228093
event_101,2032-01-07,8,full_specific_control,1.0,453544371124.93854,1842336434545.6948,1842336434545.6948,2295880805670.6333,0.8024529975577469
event_101,2032-01-08,9,full_specific_control,1.0,1182286207828.88,2332129648184.139,2332129648184.139,3514415856013.019,0.6635895533517931
event_101,2032-01-09,10,full_specific_control,1.0,2205519119999.9927,2875439159999.998,2875439159999.998,5080958279999.99,0.5659245759443637
event_101,2031-12-29,1,systematic_first,0.5,371030483.0655312,13640756728.551535,6820378364.275767,7191408847.341298,0.9735201172083235
event_101,2031-12-30,2,systematic_first,0.5,1924067723.4077675,64480019490.441505,32240009745.220753,34164077468.62852,0.9710248600027969
event_101,2031-12-31,3,systematic_first,0.5,6366655169.962562,173056832827.92914,86528416413.96457,92895071583.92712,0.9645160439081567
event_101,2032-01-01,4,systematic_first,0.5,17292494506.865074,363054258725.99084,181527129362.99542,198819623869.8605,0.9545349227780098
event_101,2032-01-02,5,systematic_first,0.5,39636396946.30546,654488679920.0492,327244339960.0246,366880736906.3301,0.9428973274885198
event_101,2032-01-05,6,systematic_first,0.5,95505228476.90259,1046539632394.9304,523269816197.4652,618775044674.3678,0.9163734878120338
event_101,2032-01-06,7,systematic_first,0.5,214569660413.46558,1490561901173.5999,745280950586.7999,959850611000.2655,0.8741624017481953
event_101,2032-01-07,8,systematic_first,0.5,538120505283.1244,1940229518171.7178,970114759085.8589,1508235264368.9834,0.7828714668265544
event_101,2032-01-08,9,systematic_first,0.5,1287588054023.86,2426029410165.8965,1213014705082.9482,2500602759106.8086,0.6532792980321713
event_101,2032-01-09,10,systematic_first,0.5,2205519120000.0,2875439160000.0,1437719580000.0,3643238700000.0,0.565924575944363
event_102,2032-01-15,1,static_open_loop,1.0,409524829.88128084,15715814171.480192,15715814171.480192,16125339001.361473,0.974603645241399
event_102,2032-01-16,2,static_open_loop,1.0,2575384194.62366,70211129115.34839,70211129115.34839,72786513309.97205,0.9646172885949901
event_102,2032-01-19,3,static_open_loop,1.0,8892604402.352568,179595915283.5748,179595915283.5748,188488519685.92737,0.9528215064919071
event_102,2032-01-20,4,static_open_loop,1.0,28783163349.62037,375926535760.56586,375926535760.56586,404709699110.1862,0.9288794822241613
event_102,2032-01-21,5,static_open_loop,1.0,79222074778.7962,674326942323.5375,674326942323.5375,753549017102.3337,0.8948680537286963
event_102,2032-01-22,6,static_open_loop,1.0,188076332362.27243,1058518335840.0939,1058518335840.0939,1246594668202.3662,0.8491279185130118
event_102,2032-01-23,7,static_open_loop,1.0,343485770361.0697,1537577459558.5513,1537577459558.5513,1881063229919.621,0.8173980731228545
event_102,2032-01-26,8,static_open_loop,1.0,771948875808.3622,1981076886127.825,1981076886127.825,2753025761936.187,0.719599835758364
event_102,2032-01-27,9,static_open_loop,1.0,1458089566389.8025,2432727741672.7593,2432727741672.7593,3890817308062.5615,0.6252485144012428
event_102,2032-01-28,10,static_open_loop,1.0,2205519120000.2056,2875439160000.11,2875439160000.11,5080958280000.315,0.5659245759443495
event_102,2032-01-15,1,full_specific_control,1.0,89685917.14872965,9578327923.034647,9578327923.034647,9668013840.183376,0.99072343930912
event_102,2032-01-16,2,full_specific_control,1.0,695923246.1296074,46088744441.29579,46088744441.29579,46784667687.4254,0.9851249719079087
event_102,2032-01-19,3,full_specific_control,1.0,2661119155.6577353,126294588130.62788,126294588130.62788,128955707286.28561,0.9793640839040185
event_102,2032-01-20,4,full_specific_control,1.0,10224381965.284163,281245519049.765,281245519049.765,291469901015.0492,0.9649213111553626
event_102,2032-01-21,5,full_specific_control,1.0,32073108564.46185,531739289087.7294,531739289087.7294,563812397652.1912,0.9431138642959617
event_102,2032-01-22,6,full_specific_control,1.0,87814115535.9368,882563939463.3918,882563939463.3918,970378054999.3286,0.9095052540774972
event_102,2032-01-23,7,full_specific_control,1.0,173952952297.06827,1351728247410.5083,1351728247410.5083,1525681199707.5767,0.885983420172963
event_102,2032-01-26,8,full_specific_control,1.0,486001863099.88605,1807358437651.4944,1807358437651.4944,2293360300751.3804,0.7880830748920457
event_102,2032-01-27,9,full_specific_control,1.0,1138640844904.1016,2313120428226.4526,2313120428226.4526,3451761273130.554,0.670127579862608
event_102,2032-01-28,10,full_specific_control,1.0,2205519119999.9863,2875439159999.999,2875439159999.999,5080958279999.985,0.5659245759443644
event_102,2032-01-15,1,systematic_first,0.5,114341661.0650144,12323316547.681139,6161658273.8405695,6275999934.905584,0.990806817557938
event_102,2032-01-16,2,systematic_first,0.5,824141989.4568657,58657581273.54836,29328790636.77418,30152932626.23105,0.9861446181407215
event_102,2032-01-19,3,systematic_first,0.5,3088773301.293256,157912958628.73172,78956479314.36586,82045252615.65912,0.9808152790391367
event_102,2032-01-20,4,systematic_first,0.5,10259614057.430779,336953860237.6714,168476930118.8357,178736544176.26648,0.9704515670704905
event_102,2032-01-21,5,systematic_first,0.5,29956498075.05047,608440171466.5793,304220085733.2897,334176583808.34015,0.9530754161099254
event_102,2032-01-22,6,systematic_first,0.5,88404313560.24702,972652511407.0769,486326255703.53845,574730569263.7855,0.9166827718553437
event_102,2032-01-23,7,systematic_first,0.5,192203643895.474,1430934441965.214,715467220982.607,907670864878.081,0.8815851555885612
event_102,2032-01-26,8,systematic_first,0.5,514383751209.5618,1868009899439.3518,934004949719.6759,1448388700929.2378,0.784089522288034
event_102,2032-01-27,9,systematic_first,0.5,1203872601396.6895,2367225914037.9595,1183612957018.9797,2387485558415.669,0.6628845168528871
event_102,2032-01-28,10,systematic_first,0.5,2205519119999.987,2875439159999.995,1437719579999.9976,3643238699999.9844,0.565924575944364
event_103,2032-02-03,1,static_open_loop,1.0,846005327.6970416,17815427175.68301,17815427175.68301,18661432503.38005,0.9546655741704819
event_103,2032-02-04,2,static_open_loop,1.0,4330002462.980566,77106276951.4579,77106276951.4579,81436279414.43846,0.9468295642419432
event_103,2032-02-05,3,static_open_loop,1.0,14189436670.324266,194865097017.7942,194865097017.7942,209054533688.11847,0.9321256687430035
event_103,2032-02-06,4,static_open_loop,1.0,40001465689.01998,404958136567.4876,404958136567.4876,444959602256.50757,0.9101009046975007
event_103,2032-02-09,5,static_open_loop,1.0,99248386143.5628,715192927155.6562,715192927155.6562,814441313299.219,0.8781393029517159
event_103,2032-02-10,6,static_open_loop,1.0,198389988023.49832,1125724272479.2302,1125724272479.2302,1324114260502.7285,0.8501715494339777
event_103,2032-02-11,7,static_open_loop,1.0,387506046872.17004,1552091494405.744,1552091494405.744,1939597541277.914,0.8002131686469041
event_103,2032-02-12,8,static_open_loop,1.0,767220988711.1443,1995577501351.585,1995577501351.585,2762798490062.7295,0.7223029506239071
event_103,2032-02-13,9,static_open_loop,1.0,1353533727102.7034,2464431731949.6416,2464431731949.6416,3817965459052.3447,0.6454829825939119
event_103,2032-02-16,10,static_open_loop,1.0,2205519119999.9854,2875439159999.9883,2875439159999.9883,5080958279999.974,0.5659245759443636
event_103,2032-02-03,1,full_specific_control,1.0,236384608.03707072,11235307793.786966,11235307793.786966,11471692401.824038,0.9793940946324986
event_103,2032-02-04,2,full_specific_control,1.0,1390948043.1734586,52480680271.89979,52480680271.89979,53871628315.07325,0.9741803229885985
event_103,2032-02-05,3,full_specific_control,1.0,4813633826.915142,142225101395.19724,142225101395.19724,147038735222.11237,0.9672628180618951
event_103,2032-02-06,4,full_specific_control,1.0,15058777015.672155,314717768031.4332,314717768031.4332,329776545047.1054,0.9543364219140534
event_103,2032-02-09,5,full_specific_control,1.0,42166657764.786224,585443198055.0415,585443198055.0415,627609855819.8278,0.9328139012257779
event_103,2032-02-10,6,full_specific_control,1.0,94520648503.53221,970395608195.4897,970395608195.4897,1064916256699.022,0.9112412380701906
event_103,2032-02-11,7,full_specific_control,1.0,201088943076.65494,1389117819967.3652,1389117819967.3652,1590206763044.0203,0.873545410729027
event_103,2032-02-12,8,full_specific_control,1.0,455076716663.9958,1827615239842.1738,1827615239842.1738,2282691956506.1694,0.800640329341448
event_103,2032-02-13,9,full_specific_control,1.0,1004622856253.4795,2339446936779.2104,2339446936779.2104,3344069793032.69,0.6995807747952529
event_103,2032-02-16,10,full_specific_control,1.0,2205519119999.9966,2875439159999.9985,2875439159999.9985,5080958279999.995,0.5659245759443633
