date,holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,cumulative_net_pnl_dollars,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,event_id,strategy,selected_plan_source
2028-04-03,89408.34392258602,31953.15607290974,3784.9520517915735,53670.23579788471,53670.23579788471,0.09957655317040856,0.09351240549251465,0.0,event_26,static_open_loop,static_open_loop
2028-04-04,-159944.4255022461,29701.740663951692,4069.6559722817533,-193715.82213847956,-140045.58634059486,0.08789088258884147,0.0878258050513746,0.0,event_26,static_open_loop,static_open_loop
2028-04-05,-1194898.0364057897,30225.124057793244,4624.883043332812,-1229748.0435069157,-1369793.6298475105,0.08832882118053575,0.08559659887832646,0.0,event_26,static_open_loop,static_open_loop
2028-04-06,736732.526290242,36776.708293877964,4897.206560235385,695058.6114361286,-674735.0184113819,0.08908456382672658,0.08836716701975877,0.0,event_26,static_open_loop,static_open_loop
2028-04-07,-793255.8309193111,43676.73238826088,5516.163150454454,-842448.7264580264,-1517183.7448694082,0.114310122249844,0.1090910723805441,15022.420013476964,event_26,static_open_loop,static_open_loop
2028-04-10,-321396.84043442586,32205.651915245835,6004.909838136638,-359607.4021878083,-1876791.1470572166,0.08663747406807971,0.08491762168054247,0.0,event_26,static_open_loop,static_open_loop
2028-04-11,445242.563908465,29733.950215603563,5769.997271113092,409738.6164217483,-1467052.5306354682,0.09361332810437036,0.08847855132921342,0.0,event_26,static_open_loop,static_open_loop
2028-04-12,-568646.4744283875,23364.007533023,4648.086733564562,-596658.5686949751,-2063711.0993304434,0.08605474231048028,0.08511721308651575,0.0,event_26,static_open_loop,static_open_loop
2028-04-13,546084.8313238677,21635.64197790631,5082.583465920667,519366.6058800407,-1544344.4934504027,0.07108151431400546,0.06644807027476435,0.0,event_26,static_open_loop,static_open_loop
2028-04-14,1634970.4587576853,11596.408229404722,4090.929116591181,1619283.1214116893,74938.62796128658,0.055261827768228404,0.05294879941110921,0.0,event_26,static_open_loop,static_open_loop
2028-04-03,48744.51896945015,14142.295348682552,2488.700967720334,32113.52265304727,32113.52265304727,0.06415214566602155,0.062105091648357306,0.0,event_26,forecast_liquidity,forecast_liquidity
2028-04-04,-167981.77890084012,16827.18687277947,3063.826419692623,-187872.79219331223,-155759.26954026497,0.08140821628184368,0.0725140965347044,0.0,event_26,forecast_liquidity,forecast_liquidity
2028-04-05,-940149.8024721878,20653.091694022864,3810.2860374616876,-964613.1802036724,-1120372.4497439372,0.0819749020394793,0.07780844421308998,0.0,event_26,forecast_liquidity,forecast_liquidity
2028-04-06,600149.1847169781,27766.292690384096,4281.380951501767,568101.5110750922,-552270.938668845,0.07420439966988802,0.07403687945320885,0.0,event_26,forecast_liquidity,forecast_liquidity
2028-04-07,-627802.2696877831,34688.83189660222,4934.343077599919,-667425.4446619852,-1219696.3833308301,0.10406277115161817,0.09909865811351677,4690.873689311731,event_26,forecast_liquidity,forecast_liquidity
2028-04-10,-304295.51469807845,29950.926417764946,5845.715235167121,-340092.1563510105,-1559788.5396818407,0.08555535428970695,0.08389925898534932,0.0,event_26,forecast_liquidity,forecast_liquidity
2028-04-11,404477.5653282371,32864.37186845718,6119.044805054829,365494.14865472505,-1194294.3910271158,0.08816447386305663,0.08497980589307036,0.0,event_26,forecast_liquidity,forecast_liquidity
2028-04-12,-401837.0326828453,29099.948337995735,5126.11770789137,-436063.09872873244,-1630357.4897558482,0.10075486732844716,0.09464492813500511,1052.6332074350212,event_26,forecast_liquidity,forecast_liquidity
2028-04-13,612215.7519351724,31951.669794199912,5899.27426399991,574364.8078769726,-1055992.6818788755,0.09560468832383917,0.08462355769217265,0.0,event_26,forecast_liquidity,forecast_liquidity
2028-04-14,1634970.4587576848,28718.43489596473,6195.942429396555,1600056.0814323234,544063.399553448,0.08904535595743583,0.0852684336331077,0.0,event_26,forecast_liquidity,forecast_liquidity
