candidate,risk_measure,scenario_tail_overlay_fraction,optimization_scenario_count,lambda_multiplier,inventory_risk_weight,inventory_path_risk_weight,status,expected_alpha_dollars,impact_cost_dollars,linear_cost_dollars,expected_net_pnl_dollars,pnl_vol_dollars,loss_var_95_dollars,loss_cvar_95_dollars,probability_profitable,event_id,strategy,policy_id,policy_aggressiveness
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.624055452396464,2.4392240588055,1.1800000000000002,3.004831393590963,210.54157360099333,-2.2395096004652797,-2.2395096004652797,1.0,event_02,forecast_liquidity,policy_0350,0.35
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.323287969092513,2.3461484249098814,1.1800000000000002,2.797139544182631,201.37237890752718,-2.153461989966473,-2.153461989966473,1.0,event_02,forecast_liquidity,policy_0350,0.35
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.663815304852156,2.4292684961516695,1.1800000000000002,2.054546808700486,184.84965764171162,-1.6343549236471517,-1.6343549236471517,1.0,event_02,forecast_liquidity,policy_0350,0.35
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.8773354514274905,3.024643730705234,1.1800000000000004,0.6726917207222562,171.53073318473733,-0.4069857205679744,-0.40698572056797433,1.0,event_02,forecast_liquidity,policy_0350,0.35
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.166104653323434,4.150652140105458,1.1800000000000002,-1.1645474867820238,164.71083233822293,1.434079000770466,1.434079000770466,0.0,event_02,forecast_liquidity,policy_0350,0.35
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.989329584387228,2.6350664330907034,1.1799999999999997,3.1742631512965254,221.75103059624695,-2.2954084231712004,-2.2954084231712004,1.0,event_01,forecast_liquidity,policy_0500,0.5
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.795488018321393,2.5112066888937497,1.1800000000000004,3.104281329427643,215.13685084802054,-2.309057048934011,-2.309057048934011,1.0,event_01,forecast_liquidity,policy_0500,0.5
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.479039177279463,2.386815692362304,1.1800000000000002,2.9122234849171593,205.16233769955244,-2.245624343876665,-2.245624343876665,1.0,event_01,forecast_liquidity,policy_0500,0.5
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.784413770903379,2.433245250389948,1.1800000000000002,2.171168520513431,187.09318016112167,-1.7416842951580924,-1.7416842951580926,1.0,event_01,forecast_liquidity,policy_0500,0.5
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.95487889259979,3.039057258050124,1.1800000000000002,0.7358216345496662,172.44342729536842,-0.47194208178729463,-0.47194208178729463,1.0,event_01,forecast_liquidity,policy_0500,0.5
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.201189676738307,4.233008545125271,1.1800000000000002,-1.2118188683869646,164.92316233322097,1.4753268491755456,1.4753268491755456,0.0,event_01,forecast_liquidity,policy_0500,0.5
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,6.989329584387228,2.6350664330907034,1.1799999999999997,3.1742631512965254,221.75103059624695,-2.2954084231712004,-2.2954084231712004,1.0,event_02,forecast_liquidity,policy_0500,0.5
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.795488018321393,2.5112066888937497,1.1800000000000004,3.104281329427643,215.13685084802054,-2.309057048934011,-2.309057048934011,1.0,event_02,forecast_liquidity,policy_0500,0.5
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.479039177279463,2.386815692362304,1.1800000000000002,2.9122234849171593,205.16233769955244,-2.245624343876665,-2.245624343876665,1.0,event_02,forecast_liquidity,policy_0500,0.5
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.784413770903379,2.433245250389948,1.1800000000000002,2.171168520513431,187.09318016112167,-1.7416842951580924,-1.7416842951580926,1.0,event_02,forecast_liquidity,policy_0500,0.5
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,4.95487889259979,3.039057258050124,1.1800000000000002,0.7358216345496662,172.44342729536842,-0.47194208178729463,-0.47194208178729463,1.0,event_02,forecast_liquidity,policy_0500,0.5
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.201189676738307,4.233008545125271,1.1800000000000002,-1.2118188683869646,164.92316233322097,1.4753268491755456,1.4753268491755456,0.0,event_02,forecast_liquidity,policy_0500,0.5
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,7.129366330712498,2.7210562533418448,1.1799999999999986,3.2283100773706552,225.6575149582129,-2.329856471636645,-2.329856471636645,1.0,event_01,forecast_liquidity,policy_0650,0.65
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.943984544398001,2.588510318618018,1.1800000000000004,3.1754742257799817,219.23538164775337,-2.354427311479005,-2.354427311479005,1.0,event_01,forecast_liquidity,policy_0650,0.65
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.615411203620512,2.4360978992067075,1.1800000000000004,2.9993133044138043,208.59912152239514,-2.312409105346935,-2.312409105346935,1.0,event_01,forecast_liquidity,policy_0650,0.65
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.892380878215478,2.449385657749774,1.1800000000000002,2.262995220465704,189.1991871842358,-1.8246098384883507,-1.8246098384883505,1.0,event_01,forecast_liquidity,policy_0650,0.65
variance__multiplier_3__variance_0.000401482__path_0,variance,0.0,,3.0,0.0004014819295327384,0.0,optimal,5.02614951061228,3.0672202318038035,1.1800000000000006,0.7789292788084756,173.33475852891397,-0.5162975167647179,-0.5162975167647179,1.0,event_01,forecast_liquidity,policy_0650,0.65
variance__multiplier_10__variance_0.00133827__path_0,variance,0.0,,10.0,0.0013382730984424615,0.0,optimal,4.234703300809787,4.332143793758096,1.1800000000000002,-1.2774404929483087,165.13933315759215,1.5355968463082315,1.5355968463082315,0.0,event_01,forecast_liquidity,policy_0650,0.65
variance__multiplier_0__variance_0__path_0,variance,0.0,,0.0,0.0,0.0,optimal,7.129366330712498,2.7210562533418448,1.1799999999999986,3.2283100773706552,225.6575149582129,-2.329856471636645,-2.329856471636645,1.0,event_02,forecast_liquidity,policy_0650,0.65
variance__multiplier_0.1__variance_1.33827e-05__path_0,variance,0.0,,0.1,1.3382730984424615e-05,0.0,optimal,6.943984544398001,2.588510318618018,1.1800000000000004,3.1754742257799817,219.23538164775337,-2.354427311479005,-2.354427311479005,1.0,event_02,forecast_liquidity,policy_0650,0.65
variance__multiplier_0.3__variance_4.01482e-05__path_0,variance,0.0,,0.3,4.0148192953273845e-05,0.0,optimal,6.615411203620512,2.4360978992067075,1.1800000000000004,2.9993133044138043,208.59912152239514,-2.312409105346935,-2.312409105346935,1.0,event_02,forecast_liquidity,policy_0650,0.65
variance__multiplier_1__variance_0.000133827__path_0,variance,0.0,,1.0,0.00013382730984424614,0.0,optimal,5.892380878215478,2.449385657749774,1.1800000000000002,2.262995220465704,189.1991871842358,-1.8246098384883507,-1.8246098384883505,1.0,event_02,forecast_liquidity,policy_0650,0.65
