date,daily_gross_pct,cumulative_gross_pct,urgent_daily_gross_pct,medium_daily_gross_pct,small_daily_gross_pct,max_factor_imbalance_pct,event_id,strategy,selected_plan_source,day_index
2028-04-04,7.387743186639371,14.167199170488168,4.049997779965721,3.337745404182254,2.4913964296477905e-09,3.4215192113524173,event_26,static_open_loop,static_open_loop,2
2028-04-05,8.521560525685528,22.688759696173697,4.772172038759001,3.7493884511704674,3.5756057889441837e-08,4.0649766630391655,event_26,static_open_loop,static_open_loop,3
2028-04-06,10.078445512760759,32.767205208934456,5.819863429549077,4.230974078635547,0.027608004576138125,4.900254594379511,event_26,static_open_loop,static_open_loop,4
2028-04-07,11.540727461714438,44.307932670648896,6.701484573761368,4.572181694113945,0.2670611938391228,5.744193589325402,event_26,static_open_loop,static_open_loop,5
2028-04-10,12.115976838115246,56.42390950876414,7.142856801962459,4.433678392790381,0.5394416433624067,7.31149359097289,event_26,static_open_loop,static_open_loop,6
2028-04-11,12.064108251148959,68.4880177599131,7.142857142586831,3.940132537953399,0.9811185706087286,9.052401782200658,event_26,static_open_loop,static_open_loop,7
2028-04-12,10.143308631032385,78.63132639094549,7.142857142787913,1.8666338155643256,1.133817672680147,12.293583186772102,event_26,static_open_loop,static_open_loop,8
2028-04-13,12.03558440776564,90.66691079871113,7.14285714282314,1.7962694417889815,3.0964578231535165,14.751289526425891,event_26,static_open_loop,static_open_loop,9
2028-04-14,9.33308920128887,100.0,7.142857142798317,1.0928798633918946,1.097352195098659,15.76354679802956,event_26,static_open_loop,static_open_loop,10
2028-04-03,4.459453636560082,4.459453636560082,2.486929118572526,1.9460859847440823,0.026438533243473922,7.550512758705401,event_26,forecast_liquidity,forecast_liquidity,1
2028-04-04,5.547392419603187,10.006846056163269,3.0913488128879836,2.4020330104671324,0.054010596248071134,7.555852496773407,event_26,forecast_liquidity,forecast_liquidity,2
2028-04-05,7.015859762092429,17.022705818255698,3.893715649757124,3.0311101204749558,0.09103399186035106,7.778149801044505,event_26,forecast_liquidity,forecast_liquidity,3
2028-04-06,8.7117582268885,25.7344640451442,4.82656962811745,3.7373233815749907,0.14786521719605913,7.889809737401911,event_26,forecast_liquidity,forecast_liquidity,4
2028-04-07,10.257268234061973,35.991732279206175,5.492338366684497,4.365730699289212,0.39919916808826345,7.53413073619143,event_26,forecast_liquidity,forecast_liquidity,5
2028-04-10,11.780347540170354,47.77207981937653,6.622318822478319,4.657386052828391,0.5006426648636447,7.6227811777211505,event_26,forecast_liquidity,forecast_liquidity,6
2028-04-11,12.790784064820981,60.56286388419751,7.193827607950231,4.684257350323717,0.9126991065470299,7.414235517067016,event_26,forecast_liquidity,forecast_liquidity,7
2028-04-12,11.117300198873867,71.68016408307138,7.696160382200639,3.1123316543562702,0.3088081623169585,8.869880386306294,event_26,forecast_liquidity,forecast_liquidity,8
2028-04-13,14.102680218452763,85.78284430152414,8.381691085925041,3.677659600813416,2.04332953171431,9.352005096615168,event_26,forecast_liquidity,forecast_liquidity,9
2028-04-14,14.217155698475837,99.99999999999997,11.029386239711894,0.5289392879849646,2.65883017077898,15.763546798029562,event_26,forecast_liquidity,forecast_liquidity,10
