event_id,as_of,strategy,plan_selection_policy,selected_plan_source,selection_reason,selection_profit_floor_dollars,selection_candidate_forecast_net_pnl_dollars,selection_candidate_profit_slack_dollars,selection_candidate_hard_passed,coefficient_policy,alpha_policy,factor_policy,profit_policy,liquidity_shape_policy,regret_policy,regret_fraction,regret_weight,liquidity_shape_fraction,forecast_profit_floor_dollars,forecast_profit_floor_slack_dollars,forecast_alpha_floor_dollars,forecast_alpha_floor_slack_dollars,factor_stress_fraction,specific_risk_fraction,alpha_confidence,mean_capacity_slack_fraction,solver,risk_aversion,liquidity_forecast_quantile,forecast_rmse_bps,selected_inventory_risk_weight,forecast_expected_net_pnl_dollars,gross_holding_pnl_dollars,impact_cost_dollars,linear_cost_dollars,net_pnl_dollars,parent_gross_dollars,net_pnl_bps,within_event_max_drawdown_dollars,within_event_max_drawdown_bps,terminal_completion_error_shares,max_realized_participation_rate,p95_realized_participation_rate,max_realized_participation_excess_shares,daily_gross_spearman,late_early_gross_ratio,completion_day5_pct,nondecreasing_transitions,urgent_first_trade_day,medium_first_trade_day,small_first_trade_day,early_factor_imbalance_pct,max_cap_excess_shares,max_wrong_direction_shares,terminal_completion_error_shares_audit
event_107,2032-04-14 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,2.69598628593676,1.212688668902375e-07,-780371.7380625965,2092025.9815622424,326628.28759591724,49551.112676377044,1715846.5812899484,487200000.00000006,35.218525888545734,658822.9715085507,13.522638988270742,4.1021849028766155e-08,0.1307433610988695,0.11233355263032281,34708.99458905273,0.6606060606060605,1.8100179240083212,42.03320937437914,6.0,1.0,1.0,10.0,6.2320737952630765,0.008987759603769518,1.512489905002614e-05,3.6903657019138336e-08
event_108,2032-05-03 16:00:00,static_open_loop,always_candidate,static_open_loop,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,barra,none,flat,none,0.0,0.0,0.0,,,,,0.0,1.0,0.5,0.5333333333333333,OSQP,medium,0.5,3.9271165227537814,1.611139953715645e-08,355692.69430853677,1723851.686887532,349687.56171429314,50666.54015040389,1323497.5850228348,487200000.00000006,27.165385571076243,3558869.7141177785,73.04740792524176,9.313225746154785e-08,0.13131066315768353,0.1127037858215358,24002.068141700132,0.09090909090909088,1.0707768089745968,48.56382277435523,5.0,1.0,1.0,1.0,7.721586983714581,0.00634286121930927,1.770149873306509e-05,1.792795956134796e-08
event_97,2031-10-15 16:00:00,full_specific_control,always_candidate,full_specific_control,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,none,0.0,0.0,0.5,,,,,0.5,1.0,0.5,0.5214804930855839,OSQP,medium,0.25,3.738002912959309,9.120811753644233e-08,-461033.82577478746,-2770051.2348640095,287527.5528629005,48463.01231614066,-3106041.80004305,487200000.00000006,-63.75291050991482,3233824.907546058,66.37571649314567,4.380664904601872e-06,0.10854595173234496,0.08964393095280689,6694.273046047907,0.8181818181818182,2.1838925592479344,38.0610232342285,8.0,1.0,1.0,9.0,2.9655075595028646,0.048951077507808805,2.3407145164133814e-05,1.1835945770144463e-06
event_98,2031-11-03 16:00:00,full_specific_control,always_candidate,full_specific_control,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,none,0.0,0.0,0.5,,,,,0.5,1.0,0.5,0.5214804930855839,OSQP,medium,0.25,3.4215761968503697,9.120811753644233e-08,-571544.0373801691,5093906.045063606,269275.46718940797,47943.09349489007,4776687.484379308,487200000.00000006,98.043667577572,1270924.0191983816,26.086289392413413,7.462222129106522e-08,0.10735115130460667,0.09117576337298997,7812.620743367821,0.8424242424242423,2.3431705473036475,37.208300787652256,7.0,1.0,1.0,9.0,3.736048417903552,0.010490977772860788,2.0278559351528082e-05,4.3888576328754425e-08
event_99,2031-11-20 16:00:00,full_specific_control,always_candidate,full_specific_control,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,none,0.0,0.0,0.5,,,,,0.5,1.0,0.5,0.5214804930855839,OSQP,medium,0.25,3.6072429221795956,9.120811753644233e-08,-494669.51771027024,802833.8695068238,284153.7751910346,47836.11518187588,470843.9791339135,487200000.00000006,9.664285285999865,1743675.1639283693,35.78972011347227,2.2165477275848389e-07,0.10269813348807881,0.09317074059993345,2563.2056280811375,0.7333333333333332,2.2686913088462597,37.822741434097765,6.0,1.0,1.0,10.0,3.2150674145661124,0.013363595498958603,2.3780106858361145e-05,5.4249539971351624e-08
event_100,2031-12-09 16:00:00,full_specific_control,always_candidate,full_specific_control,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,none,0.0,0.0,0.5,,,,,0.5,1.0,0.5,0.5214804930855839,OSQP,medium,0.25,4.987248488867349,4.958874012952752e-08,1613770.5082290093,915734.4796561123,298880.2164446061,50042.12087555592,566812.1423359499,487200000.00000006,11.634075171099134,1411861.4294313355,28.979093379132497,8.949427865445614e-09,0.11262179299999298,0.08976020259086472,8736.523585109506,0.2121212121212121,1.1883894280940868,48.160456311598665,5.0,1.0,1.0,1.0,2.5980596042603135,3.51441849488765e-05,1.2403161033909394e-07,3.14321368932724e-09
event_101,2031-12-26 16:00:00,full_specific_control,always_candidate,full_specific_control,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,none,0.0,0.0,0.5,,,,,0.5,1.0,0.5,0.5214804930855839,OSQP,medium,0.25,4.354439214846237,2.8273431340653847e-08,772549.7538686123,530500.2919514235,325585.68125038675,49038.31512707891,155876.29557395773,487200000.00000006,3.1994313541452732,3022631.935561755,62.04088537688331,6.315531209111214e-09,0.12297941700746427,0.09430025409301124,23668.278029815003,0.4787878787878787,1.4084015085907646,44.245069220851136,5.0,1.0,1.0,1.0,3.403266587604903,7.873351569287479e-05,4.1749567085710733e-07,1.6298145055770874e-09
event_102,2032-01-14 16:00:00,full_specific_control,always_candidate,full_specific_control,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,none,0.0,0.0,0.5,,,,,0.5,1.0,0.5,0.5214804930855839,OSQP,medium,0.25,3.0788627723394586,3.0023526091194015e-08,888390.5822689002,6216952.644930969,278320.93114380655,49312.07247877052,5889319.641308392,487200000.00000006,120.88094501864515,1291029.7667216568,26.498968939278665,8.192728273570538e-09,0.1105417762527913,0.08995108085959654,8906.297482499183,0.49090909090909085,1.4331434747451737,43.53423258226809,6.0,1.0,1.0,1.0,2.7471437294729433,0.0001318429276579991,6.063017034781519e-07,1.7462298274040222e-09
event_103,2032-02-02 16:00:00,full_specific_control,always_candidate,full_specific_control,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,none,0.0,0.0,0.5,,,,,0.5,1.0,0.5,0.5214804930855839,OSQP,medium,0.25,4.529815594361369,2.712067181400579e-08,730005.5768861563,-248891.7030185545,403478.76166937494,49774.34358347057,-702144.8082714002,487200000.00000006,-14.411839250233992,3239105.6098603127,66.48410529269935,6.461050361394882e-09,0.1433898011651541,0.13094657131297505,32396.262066510302,0.5151515151515151,1.3936456933837278,44.95152667047761,6.0,1.0,1.0,1.0,3.3396866644180436,6.884042522870004e-05,4.4647162117202477e-07,1.862645149230957e-09
event_104,2032-02-19 16:00:00,full_specific_control,always_candidate,full_specific_control,Policy selects this optimizer plan directly.,,,,True,baseline_locked,raw,minimax_factor_stress,none,risk_scaled,none,0.0,0.0,0.5,,,,,0.5,1.0,0.5,0.5214804930855839,OSQP,medium,0.25,5.634729922020432,4.34883048879803e-08,1439136.2252946137,1723843.6769454288,372531.9614362647,50377.06953889716,1300934.645970267,487200000.00000006,26.702271058503015,809688.5319507793,16.619222741190047,5.486072041094303e-09,0.1341857318121353,0.115846399896227,29815.21296677689,0.4424242424242424,1.322755613477225,45.305751768193986,6.0,1.0,1.0,1.0,2.8085062409036015,0.00016746589972171932,1.07110198932987e-06,1.1641532182693481e-09
