date,daily_gross_pct,cumulative_gross_pct,urgent_daily_gross_pct,medium_daily_gross_pct,small_daily_gross_pct,max_factor_imbalance_pct,event_id,strategy,day_index,policy_id,policy_aggressiveness
2026-01-14,48.85649950585744,100.00000000000001,22.353687432476367,12.371271249968284,14.131540823412795,62.71186440677966,event_02,forecast_liquidity,3,policy_0500,0.5
2026-01-02,26.18765029461696,26.18765029461696,9.43325420487138,13.644530613014096,3.109865476731484,47.89707950308616,event_01,forecast_liquidity,1,policy_0650,0.65
2026-01-05,28.065056706775454,54.252707001392416,11.716425615877732,12.15138661482657,4.1972444760711545,52.452294726641746,event_01,forecast_liquidity,2,policy_0650,0.65
2026-01-06,45.747292998607605,100.00000000000003,21.223201535183104,11.492218365379674,13.031873098044832,62.71186440677967,event_01,forecast_liquidity,3,policy_0650,0.65
2026-01-12,26.18765029461696,26.18765029461696,9.43325420487138,13.644530613014096,3.109865476731484,47.89707950308616,event_02,forecast_liquidity,1,policy_0650,0.65
2026-01-13,28.065056706775454,54.252707001392416,11.716425615877732,12.15138661482657,4.1972444760711545,52.452294726641746,event_02,forecast_liquidity,2,policy_0650,0.65
2026-01-14,45.747292998607605,100.00000000000003,21.223201535183104,11.492218365379674,13.031873098044832,62.71186440677967,event_02,forecast_liquidity,3,policy_0650,0.65
2026-01-02,28.68511648654094,28.68511648654094,10.29893867090712,14.43175760113981,3.9544202144940113,49.68903958290986,event_01,forecast_liquidity,1,policy_0800,0.8
2026-01-05,28.706117197552516,57.39123368409346,12.028089687434685,12.162559976033366,4.515467534084464,53.66135928779651,event_01,forecast_liquidity,2,policy_0800,0.8
2026-01-06,42.608766315906564,100.00000000000003,20.045852997590405,10.693818016047164,11.869095302268997,62.71186440677967,event_01,forecast_liquidity,3,policy_0800,0.8
2026-01-12,28.68511648654094,28.68511648654094,10.29893867090712,14.43175760113981,3.9544202144940113,49.68903958290986,event_02,forecast_liquidity,1,policy_0800,0.8
2026-01-13,28.706117197552516,57.39123368409346,12.028089687434685,12.162559976033366,4.515467534084464,53.66135928779651,event_02,forecast_liquidity,2,policy_0800,0.8
2026-01-14,42.608766315906564,100.00000000000003,20.045852997590405,10.693818016047164,11.869095302268997,62.71186440677967,event_02,forecast_liquidity,3,policy_0800,0.8
2026-01-02,32.22632538624251,32.22632538624251,11.568428780021256,15.429775764899116,5.2281208413221325,52.12058594962824,event_01,forecast_liquidity,1,policy_1000,1.0
2026-01-05,29.495364694604955,61.721690080847466,12.42172771177801,12.144077100490913,4.929559882336034,55.325505783668866,event_01,forecast_liquidity,2,policy_1000,1.0
2026-01-06,38.27830991915255,100.00000000000001,18.38272486413294,9.714282727830314,10.181302327189298,62.71186440677967,event_01,forecast_liquidity,3,policy_1000,1.0
2026-01-12,32.22632538624251,32.22632538624251,11.568428780021256,15.429775764899116,5.2281208413221325,52.12058594962824,event_02,forecast_liquidity,1,policy_1000,1.0
2026-01-13,29.495364694604955,61.721690080847466,12.42172771177801,12.144077100490913,4.929559882336034,55.325505783668866,event_02,forecast_liquidity,2,policy_1000,1.0
2026-01-14,38.27830991915255,100.00000000000001,18.38272486413294,9.714282727830314,10.181302327189298,62.71186440677967,event_02,forecast_liquidity,3,policy_1000,1.0
